date,Brunnen bauen,isPartial
2018-01-07,25,False
2018-01-14,9,False
2018-01-21,22,False
2018-01-28,19,False
2018-02-04,13,False
2018-02-11,13,False
2018-02-18,10,False
2018-02-25,25,False
2018-03-04,19,False
2018-03-11,22,False
2018-03-18,9,False
2018-03-25,23,False
2018-04-01,17,False
2018-04-08,32,False
2018-04-15,23,False
2018-04-22,38,False
2018-04-29,36,False
2018-05-06,33,False
2018-05-13,35,False
2018-05-20,27,False
2018-05-27,52,False
2018-06-03,54,False
2018-06-10,43,False
2018-06-17,22,False
2018-06-24,35,False
2018-07-01,25,False
2018-07-08,22,False
2018-07-15,36,False
2018-07-22,43,False
2018-07-29,59,False
2018-08-05,49,False
2018-08-12,27,False
2018-08-19,26,False
2018-08-26,13,False
2018-09-02,6,False
2018-09-09,19,False
2018-09-16,16,False
2018-09-23,16,False
2018-09-30,6,False
2018-10-07,6,False
2018-10-14,0,False
2018-10-21,9,False
2018-10-28,6,False
2018-11-04,12,False
2018-11-11,13,False
2018-11-18,6,False
2018-11-25,12,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,10,False
2018-12-23,7,False
2018-12-30,10,False
2019-01-06,18,False
2019-01-13,14,False
2019-01-20,14,False
2019-01-27,6,False
2019-02-03,9,False
2019-02-10,15,False
2019-02-17,12,False
2019-02-24,18,False
2019-03-03,21,False
2019-03-10,15,False
2019-03-17,21,False
2019-03-24,18,False
2019-03-31,24,False
2019-04-07,15,False
2019-04-14,36,False
2019-04-21,54,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,18,False
2019-05-19,15,False
2019-05-26,25,False
2019-06-02,36,False
2019-06-09,25,False
2019-06-16,18,False
2019-06-23,37,False
2019-06-30,33,False
2019-07-07,12,False
2019-07-14,28,False
2019-07-21,26,False
2019-07-28,41,False
2019-08-04,16,False
2019-08-11,15,False
2019-08-18,19,False
2019-08-25,30,False
2019-09-01,18,False
2019-09-08,21,False
2019-09-15,15,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,20,False
2019-10-13,6,False
2019-10-20,6,False
2019-10-27,6,False
2019-11-03,22,False
2019-11-10,8,False
2019-11-17,11,False
2019-11-24,5,False
2019-12-01,22,False
2019-12-08,11,False
2019-12-15,11,False
2019-12-22,13,False
2019-12-29,9,False
2020-01-05,8,False
2020-01-12,10,False
2020-01-19,13,False
2020-01-26,13,False
2020-02-02,16,False
2020-02-09,16,False
2020-02-16,8,False
2020-02-23,10,False
2020-03-01,16,False
2020-03-08,20,False
2020-03-15,38,False
2020-03-22,12,False
2020-03-29,31,False
2020-04-05,68,False
2020-04-12,80,False
2020-04-19,100,False
2020-04-26,76,False
2020-05-03,70,False
2020-05-10,44,False
