date,Brunnen bauen,isPartial
2018-01-07,0,False
2018-01-14,24,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,25,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,25,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,26,False
2018-03-25,27,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,0,False
2018-04-22,39,False
2018-04-29,27,False
2018-05-06,0,False
2018-05-13,26,False
2018-05-20,56,False
2018-05-27,27,False
2018-06-03,52,False
2018-06-10,25,False
2018-06-17,0,False
2018-06-24,26,False
2018-07-01,50,False
2018-07-08,25,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,27,False
2018-08-05,28,False
2018-08-12,28,False
2018-08-19,28,False
2018-08-26,28,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,25,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,24,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,24,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,23,False
2019-03-17,73,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,75,False
2019-04-28,71,False
2019-05-05,23,False
2019-05-12,24,False
2019-05-19,46,False
2019-05-26,24,False
2019-06-02,24,False
2019-06-09,25,False
2019-06-16,50,False
2019-06-23,36,False
2019-06-30,24,False
2019-07-07,23,False
2019-07-14,0,False
2019-07-21,100,False
2019-07-28,25,False
2019-08-04,27,False
2019-08-11,0,False
2019-08-18,27,False
2019-08-25,26,False
2019-09-01,0,False
2019-09-08,24,False
2019-09-15,24,False
2019-09-22,23,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,23,False
2019-10-20,23,False
2019-10-27,23,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,22,False
2019-12-01,22,False
2019-12-08,33,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,25,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,21,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,21,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,83,False
2020-04-12,46,False
2020-04-19,45,False
2020-04-26,19,False
2020-05-03,38,False
2020-05-10,25,False
