date,conversation anglais,isPartial
2018-01-07,36,False
2018-01-14,53,False
2018-01-21,0,False
2018-01-28,35,False
2018-02-04,44,False
2018-02-11,36,False
2018-02-18,19,False
2018-02-25,19,False
2018-03-04,36,False
2018-03-11,0,False
2018-03-18,64,False
2018-03-25,28,False
2018-04-01,19,False
2018-04-08,18,False
2018-04-15,20,False
2018-04-22,29,False
2018-04-29,37,False
2018-05-06,20,False
2018-05-13,54,False
2018-05-20,47,False
2018-05-27,35,False
2018-06-03,18,False
2018-06-10,26,False
2018-06-17,35,False
2018-06-24,27,False
2018-07-01,35,False
2018-07-08,19,False
2018-07-15,50,False
2018-07-22,0,False
2018-07-29,32,False
2018-08-05,34,False
2018-08-12,47,False
2018-08-19,43,False
2018-08-26,29,False
2018-09-02,55,False
2018-09-09,18,False
2018-09-16,35,False
2018-09-23,44,False
2018-09-30,27,False
2018-10-07,18,False
2018-10-14,17,False
2018-10-21,44,False
2018-10-28,47,False
2018-11-04,18,False
2018-11-11,60,False
2018-11-18,53,False
2018-11-25,54,False
2018-12-02,18,False
2018-12-09,18,False
2018-12-16,19,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,54,False
2019-01-13,54,False
2019-01-20,26,False
2019-01-27,35,False
2019-02-03,33,False
2019-02-10,35,False
2019-02-17,18,False
2019-02-24,18,False
2019-03-03,35,False
2019-03-10,45,False
2019-03-17,55,False
2019-03-24,57,False
2019-03-31,18,False
2019-04-07,37,False
2019-04-14,0,False
2019-04-21,31,False
2019-04-28,100,False
2019-05-05,20,False
2019-05-12,28,False
2019-05-19,56,False
2019-05-26,19,False
2019-06-02,51,False
2019-06-09,19,False
2019-06-16,57,False
2019-06-23,19,False
2019-06-30,0,False
2019-07-07,19,False
2019-07-14,21,False
2019-07-21,22,False
2019-07-28,46,False
2019-08-04,48,False
2019-08-11,75,False
2019-08-18,24,False
2019-08-25,42,False
2019-09-01,56,False
2019-09-08,37,False
2019-09-15,73,False
2019-09-22,18,False
2019-09-29,17,False
2019-10-06,18,False
2019-10-13,36,False
2019-10-20,56,False
2019-10-27,19,False
2019-11-03,44,False
2019-11-10,45,False
2019-11-17,45,False
2019-11-24,18,False
2019-12-01,17,False
2019-12-08,34,False
2019-12-15,18,False
2019-12-22,22,False
2019-12-29,20,False
2020-01-05,17,False
2020-01-12,17,False
2020-01-19,53,False
2020-01-26,26,False
2020-02-02,35,False
2020-02-09,35,False
2020-02-16,54,False
2020-02-23,25,False
2020-03-01,50,False
2020-03-08,24,False
2020-03-15,17,False
2020-03-22,18,False
2020-03-29,35,False
2020-04-05,35,False
2020-04-12,45,False
2020-04-19,34,False
2020-04-26,34,False
2020-05-03,16,False
2020-05-10,60,False
2020-05-17,36,False
2020-05-24,34,False
2020-05-31,16,False
2020-06-07,41,False
2020-06-14,0,False
