date,conversation anglais,isPartial
2018-01-07,0,False
2018-01-14,57,False
2018-01-21,42,False
2018-01-28,29,False
2018-02-04,29,False
2018-02-11,0,False
2018-02-18,29,False
2018-02-25,0,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,0,False
2018-03-25,88,False
2018-04-01,30,False
2018-04-08,30,False
2018-04-15,33,False
2018-04-22,30,False
2018-04-29,30,False
2018-05-06,0,False
2018-05-13,29,False
2018-05-20,31,False
2018-05-27,59,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,31,False
2018-07-01,29,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,32,False
2018-07-29,0,False
2018-08-05,33,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,31,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,0,False
2018-10-07,30,False
2018-10-14,62,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,29,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,30,False
2018-12-02,29,False
2018-12-09,59,False
2018-12-16,91,False
2018-12-23,100,False
2018-12-30,31,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,28,False
2019-01-27,27,False
2019-02-03,0,False
2019-02-10,29,False
2019-02-17,89,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,28,False
2019-03-17,0,False
2019-03-24,86,False
2019-03-31,27,False
2019-04-07,55,False
2019-04-14,29,False
2019-04-21,28,False
2019-04-28,55,False
2019-05-05,27,False
2019-05-12,27,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,28,False
2019-07-21,28,False
2019-07-28,58,False
2019-08-04,0,False
2019-08-11,31,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,53,False
2019-09-08,27,False
2019-09-15,27,False
2019-09-22,26,False
2019-09-29,0,False
2019-10-06,27,False
2019-10-13,0,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,76,False
2019-11-10,26,False
2019-11-17,25,False
2019-11-24,25,False
2019-12-01,25,False
2019-12-08,49,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,24,False
2020-01-19,25,False
2020-01-26,48,False
2020-02-02,24,False
2020-02-09,59,False
2020-02-16,23,False
2020-02-23,23,False
2020-03-01,47,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,22,False
2020-04-19,33,False
2020-04-26,21,False
2020-05-03,21,False
2020-05-10,22,False
2020-05-17,24,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,22,False
2020-06-14,23,False
