date,piscine autoportée,isPartial
2018-01-07,1,False
2018-01-14,1,False
2018-01-21,2,False
2018-01-28,1,False
2018-02-04,1,False
2018-02-11,2,False
2018-02-18,2,False
2018-02-25,3,False
2018-03-04,4,False
2018-03-11,3,False
2018-03-18,4,False
2018-03-25,6,False
2018-04-01,7,False
2018-04-08,6,False
2018-04-15,16,False
2018-04-22,13,False
2018-04-29,11,False
2018-05-06,24,False
2018-05-13,9,False
2018-05-20,17,False
2018-05-27,18,False
2018-06-03,17,False
2018-06-10,12,False
2018-06-17,25,False
2018-06-24,46,False
2018-07-01,55,False
2018-07-08,33,False
2018-07-15,23,False
2018-07-22,36,False
2018-07-29,36,False
2018-08-05,22,False
2018-08-12,13,False
2018-08-19,10,False
2018-08-26,4,False
2018-09-02,4,False
2018-09-09,5,False
2018-09-16,2,False
2018-09-23,1,False
2018-09-30,1,False
2018-10-07,1,False
2018-10-14,1,False
2018-10-21,1,False
2018-10-28,0,False
2018-11-04,1,False
2018-11-11,1,False
2018-11-18,1,False
2018-11-25,1,False
2018-12-02,1,False
2018-12-09,0,False
2018-12-16,2,False
2018-12-23,1,False
2018-12-30,2,False
2019-01-06,1,False
2019-01-13,2,False
2019-01-20,2,False
2019-01-27,1,False
2019-02-03,2,False
2019-02-10,3,False
2019-02-17,8,False
2019-02-24,5,False
2019-03-03,3,False
2019-03-10,2,False
2019-03-17,4,False
2019-03-24,7,False
2019-03-31,5,False
2019-04-07,3,False
2019-04-14,7,False
2019-04-21,9,False
2019-04-28,7,False
2019-05-05,6,False
2019-05-12,6,False
2019-05-19,9,False
2019-05-26,18,False
2019-06-02,30,False
2019-06-09,11,False
2019-06-16,42,False
2019-06-23,100,False
2019-06-30,54,False
2019-07-07,31,False
2019-07-14,19,False
2019-07-21,32,False
2019-07-28,12,False
2019-08-04,9,False
2019-08-11,4,False
2019-08-18,5,False
2019-08-25,6,False
2019-09-01,3,False
2019-09-08,3,False
2019-09-15,4,False
2019-09-22,1,False
2019-09-29,2,False
2019-10-06,1,False
2019-10-13,1,False
2019-10-20,1,False
2019-10-27,1,False
2019-11-03,2,False
2019-11-10,1,False
2019-11-17,1,False
2019-11-24,2,False
2019-12-01,1,False
2019-12-08,1,False
2019-12-15,1,False
2019-12-22,1,False
2019-12-29,1,False
2020-01-05,1,False
2020-01-12,1,False
2020-01-19,2,False
2020-01-26,1,False
2020-02-02,1,False
2020-02-09,3,False
2020-02-16,3,False
2020-02-23,2,False
2020-03-01,4,False
2020-03-08,2,False
2020-03-15,3,False
2020-03-22,3,False
2020-03-29,8,False
2020-04-05,21,False
2020-04-12,26,False
2020-04-19,29,False
2020-04-26,21,False
2020-05-03,29,False
2020-05-10,19,False
2020-05-17,85,True
