date,piscine autoportée,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,6,False
2018-01-28,0,False
2018-02-04,6,False
2018-02-11,6,False
2018-02-18,6,False
2018-02-25,6,False
2018-03-04,6,False
2018-03-11,8,False
2018-03-18,8,False
2018-03-25,6,False
2018-04-01,6,False
2018-04-08,10,False
2018-04-15,15,False
2018-04-22,9,False
2018-04-29,18,False
2018-05-06,33,False
2018-05-13,11,False
2018-05-20,22,False
2018-05-27,20,False
2018-06-03,13,False
2018-06-10,9,False
2018-06-17,17,False
2018-06-24,44,False
2018-07-01,41,False
2018-07-08,38,False
2018-07-15,19,False
2018-07-22,39,False
2018-07-29,39,False
2018-08-05,40,False
2018-08-12,10,False
2018-08-19,9,False
2018-08-26,8,False
2018-09-02,8,False
2018-09-09,8,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,6,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,6,False
2018-10-28,0,False
2018-11-04,6,False
2018-11-11,0,False
2018-11-18,6,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,13,False
2019-01-06,6,False
2019-01-13,6,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,8,False
2019-02-10,0,False
2019-02-17,8,False
2019-02-24,9,False
2019-03-03,6,False
2019-03-10,14,False
2019-03-17,10,False
2019-03-24,9,False
2019-03-31,6,False
2019-04-07,0,False
2019-04-14,12,False
2019-04-21,10,False
2019-04-28,13,False
2019-05-05,12,False
2019-05-12,9,False
2019-05-19,10,False
2019-05-26,18,False
2019-06-02,18,False
2019-06-09,12,False
2019-06-16,54,False
2019-06-23,100,False
2019-06-30,48,False
2019-07-07,31,False
2019-07-14,28,False
2019-07-21,32,False
2019-07-28,14,False
2019-08-04,15,False
2019-08-11,12,False
2019-08-18,8,False
2019-08-25,9,False
2019-09-01,9,False
2019-09-08,0,False
2019-09-15,6,False
2019-09-22,6,False
2019-09-29,6,False
2019-10-06,11,False
2019-10-13,6,False
2019-10-20,0,False
2019-10-27,6,False
2019-11-03,0,False
2019-11-10,6,False
2019-11-17,6,False
2019-11-24,6,False
2019-12-01,5,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,5,False
2020-01-12,0,False
2020-01-19,6,False
2020-01-26,0,False
2020-02-02,6,False
2020-02-09,6,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,5,False
2020-03-08,10,False
2020-03-15,11,False
2020-03-22,6,False
2020-03-29,13,False
2020-04-05,32,False
2020-04-12,31,False
2020-04-19,38,False
2020-04-26,27,False
2020-05-03,28,False
2020-05-10,18,False
2020-05-17,74,True
