date,piscine autoportée,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,10,False
2018-02-18,20,False
2018-02-25,0,False
2018-03-04,20,False
2018-03-11,10,False
2018-03-18,10,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,20,False
2018-04-15,21,False
2018-04-22,10,False
2018-04-29,17,False
2018-05-06,22,False
2018-05-13,10,False
2018-05-20,24,False
2018-05-27,15,False
2018-06-03,0,False
2018-06-10,9,False
2018-06-17,20,False
2018-06-24,41,False
2018-07-01,52,False
2018-07-08,31,False
2018-07-15,18,False
2018-07-22,32,False
2018-07-29,14,False
2018-08-05,36,False
2018-08-12,11,False
2018-08-19,11,False
2018-08-26,10,False
2018-09-02,16,False
2018-09-09,10,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,10,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,10,False
2019-03-17,10,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,11,False
2019-04-14,21,False
2019-04-21,0,False
2019-04-28,10,False
2019-05-05,10,False
2019-05-12,10,False
2019-05-19,0,False
2019-05-26,17,False
2019-06-02,18,False
2019-06-09,19,False
2019-06-16,40,False
2019-06-23,100,False
2019-06-30,39,False
2019-07-07,19,False
2019-07-14,30,False
2019-07-21,30,False
2019-07-28,11,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,10,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,10,False
2019-09-15,9,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,9,False
2019-11-17,0,False
2019-11-24,8,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,8,False
2020-01-19,0,False
2020-01-26,8,False
2020-02-02,8,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,7,False
2020-03-22,0,False
2020-03-29,9,False
2020-04-05,14,False
2020-04-12,29,False
2020-04-19,28,False
2020-04-26,17,False
2020-05-03,10,False
2020-05-10,10,False
2020-05-17,83,True
