date,Partyraum mieten,isPartial
2018-01-07,26,False
2018-01-14,68,False
2018-01-21,51,False
2018-01-28,38,False
2018-02-04,43,False
2018-02-11,52,False
2018-02-18,26,False
2018-02-25,26,False
2018-03-04,34,False
2018-03-11,34,False
2018-03-18,26,False
2018-03-25,54,False
2018-04-01,40,False
2018-04-08,53,False
2018-04-15,27,False
2018-04-22,25,False
2018-04-29,35,False
2018-05-06,54,False
2018-05-13,26,False
2018-05-20,27,False
2018-05-27,25,False
2018-06-03,39,False
2018-06-10,49,False
2018-06-17,25,False
2018-06-24,38,False
2018-07-01,27,False
2018-07-08,40,False
2018-07-15,47,False
2018-07-22,27,False
2018-07-29,79,False
2018-08-05,24,False
2018-08-12,32,False
2018-08-19,24,False
2018-08-26,100,False
2018-09-02,38,False
2018-09-09,51,False
2018-09-16,51,False
2018-09-23,68,False
2018-09-30,40,False
2018-10-07,45,False
2018-10-14,59,False
2018-10-21,25,False
2018-10-28,50,False
2018-11-04,49,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,38,False
2018-12-16,0,False
2018-12-23,57,False
2018-12-30,52,False
2019-01-06,47,False
2019-01-13,39,False
2019-01-20,59,False
2019-01-27,48,False
2019-02-03,24,False
2019-02-10,37,False
2019-02-17,24,False
2019-02-24,25,False
2019-03-03,36,False
2019-03-10,71,False
2019-03-17,49,False
2019-03-24,25,False
2019-03-31,24,False
2019-04-07,39,False
2019-04-14,28,False
2019-04-21,25,False
2019-04-28,41,False
2019-05-05,48,False
2019-05-12,0,False
2019-05-19,72,False
2019-05-26,0,False
2019-06-02,48,False
2019-06-09,24,False
2019-06-16,48,False
2019-06-23,24,False
2019-06-30,40,False
2019-07-07,41,False
2019-07-14,26,False
2019-07-21,27,False
2019-07-28,25,False
2019-08-04,33,False
2019-08-11,23,False
2019-08-18,63,False
2019-08-25,47,False
2019-09-01,80,False
2019-09-08,47,False
2019-09-15,35,False
2019-09-22,31,False
2019-09-29,35,False
2019-10-06,47,False
2019-10-13,23,False
2019-10-20,23,False
2019-10-27,38,False
2019-11-03,51,False
2019-11-10,45,False
2019-11-17,56,False
2019-11-24,22,False
2019-12-01,44,False
2019-12-08,0,False
2019-12-15,23,False
2019-12-22,25,False
2019-12-29,38,False
2020-01-05,21,False
2020-01-12,41,False
2020-01-19,57,False
2020-01-26,21,False
2020-02-02,21,False
2020-02-09,48,False
2020-02-16,43,False
2020-02-23,35,False
2020-03-01,43,False
2020-03-08,39,False
2020-03-15,19,False
2020-03-22,0,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,20,False
2020-04-26,19,False
2020-05-03,0,False
2020-05-10,19,False
2020-05-17,0,True
