date,bomboniere battesimo,isPartial
2018-01-07,45,False
2018-01-14,0,False
2018-01-21,33,False
2018-01-28,32,False
2018-02-04,43,False
2018-02-11,43,False
2018-02-18,42,False
2018-02-25,20,False
2018-03-04,52,False
2018-03-11,63,False
2018-03-18,32,False
2018-03-25,22,False
2018-04-01,57,False
2018-04-08,32,False
2018-04-15,66,False
2018-04-22,34,False
2018-04-29,42,False
2018-05-06,41,False
2018-05-13,43,False
2018-05-20,64,False
2018-05-27,22,False
2018-06-03,21,False
2018-06-10,20,False
2018-06-17,21,False
2018-06-24,64,False
2018-07-01,21,False
2018-07-08,31,False
2018-07-15,21,False
2018-07-22,83,False
2018-07-29,32,False
2018-08-05,55,False
2018-08-12,23,False
2018-08-19,67,False
2018-08-26,63,False
2018-09-02,63,False
2018-09-09,42,False
2018-09-16,21,False
2018-09-23,21,False
2018-09-30,22,False
2018-10-07,43,False
2018-10-14,22,False
2018-10-21,0,False
2018-10-28,31,False
2018-11-04,21,False
2018-11-11,33,False
2018-11-18,43,False
2018-11-25,0,False
2018-12-02,22,False
2018-12-09,22,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,24,False
2019-01-06,68,False
2019-01-13,22,False
2019-01-20,82,False
2019-01-27,30,False
2019-02-03,83,False
2019-02-10,21,False
2019-02-17,22,False
2019-02-24,22,False
2019-03-03,22,False
2019-03-10,54,False
2019-03-17,87,False
2019-03-24,44,False
2019-03-31,21,False
2019-04-07,43,False
2019-04-14,66,False
2019-04-21,43,False
2019-04-28,21,False
2019-05-05,31,False
2019-05-12,61,False
2019-05-19,30,False
2019-05-26,20,False
2019-06-02,21,False
2019-06-09,62,False
2019-06-16,44,False
2019-06-23,45,False
2019-06-30,43,False
2019-07-07,0,False
2019-07-14,42,False
2019-07-21,32,False
2019-07-28,43,False
2019-08-04,22,False
2019-08-11,23,False
2019-08-18,32,False
2019-08-25,82,False
2019-09-01,39,False
2019-09-08,100,False
2019-09-15,20,False
2019-09-22,19,False
2019-09-29,29,False
2019-10-06,20,False
2019-10-13,40,False
2019-10-20,29,False
2019-10-27,38,False
2019-11-03,37,False
2019-11-10,19,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,20,False
2019-12-08,20,False
2019-12-15,61,False
2019-12-22,24,False
2019-12-29,67,False
2020-01-05,40,False
2020-01-12,19,False
2020-01-19,19,False
2020-01-26,18,False
2020-02-02,37,False
2020-02-09,38,False
2020-02-16,0,False
2020-02-23,17,False
2020-03-01,35,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,33,False
2020-04-12,0,False
2020-04-19,16,False
2020-04-26,0,True
