date,Dach sanieren,isPartial
2018-01-07,37,False
2018-01-14,48,False
2018-01-21,49,False
2018-01-28,24,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,25,False
2018-03-11,49,False
2018-03-18,33,False
2018-03-25,27,False
2018-04-01,53,False
2018-04-08,38,False
2018-04-15,39,False
2018-04-22,49,False
2018-04-29,39,False
2018-05-06,39,False
2018-05-13,25,False
2018-05-20,26,False
2018-05-27,34,False
2018-06-03,25,False
2018-06-10,56,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,37,False
2018-07-08,50,False
2018-07-15,26,False
2018-07-22,0,False
2018-07-29,64,False
2018-08-05,38,False
2018-08-12,52,False
2018-08-19,52,False
2018-08-26,26,False
2018-09-02,38,False
2018-09-09,25,False
2018-09-16,50,False
2018-09-23,25,False
2018-09-30,25,False
2018-10-07,49,False
2018-10-14,25,False
2018-10-21,25,False
2018-10-28,36,False
2018-11-04,24,False
2018-11-11,49,False
2018-11-18,35,False
2018-11-25,37,False
2018-12-02,24,False
2018-12-09,32,False
2018-12-16,25,False
2018-12-23,28,False
2018-12-30,26,False
2019-01-06,46,False
2019-01-13,34,False
2019-01-20,30,False
2019-01-27,34,False
2019-02-03,23,False
2019-02-10,59,False
2019-02-17,47,False
2019-02-24,72,False
2019-03-03,23,False
2019-03-10,38,False
2019-03-17,36,False
2019-03-24,36,False
2019-03-31,48,False
2019-04-07,24,False
2019-04-14,52,False
2019-04-21,100,False
2019-04-28,58,False
2019-05-05,0,False
2019-05-12,40,False
2019-05-19,47,False
2019-05-26,24,False
2019-06-02,58,False
2019-06-09,40,False
2019-06-16,49,False
2019-06-23,64,False
2019-06-30,40,False
2019-07-07,35,False
2019-07-14,24,False
2019-07-21,26,False
2019-07-28,25,False
2019-08-04,25,False
2019-08-11,24,False
2019-08-18,73,False
2019-08-25,24,False
2019-09-01,46,False
2019-09-08,32,False
2019-09-15,24,False
2019-09-22,23,False
2019-09-29,69,False
2019-10-06,46,False
2019-10-13,34,False
2019-10-20,68,False
2019-10-27,34,False
2019-11-03,36,False
2019-11-10,33,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,44,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,32,False
2020-01-12,34,False
2020-01-19,28,False
2020-01-26,48,False
2020-02-02,52,False
2020-02-09,68,False
2020-02-16,32,False
2020-02-23,21,False
2020-03-01,41,False
2020-03-08,19,False
2020-03-15,28,False
2020-03-22,37,False
2020-03-29,37,False
2020-04-05,82,False
2020-04-12,49,False
2020-04-19,28,False
2020-04-26,19,False
2020-05-03,19,False
2020-05-10,57,False
