date,Tentes,isPartial
2018-01-07,25,False
2018-01-14,25,False
2018-01-21,25,False
2018-01-28,38,False
2018-02-04,39,False
2018-02-11,26,False
2018-02-18,0,False
2018-02-25,25,False
2018-03-04,52,False
2018-03-11,26,False
2018-03-18,43,False
2018-03-25,26,False
2018-04-01,27,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,25,False
2018-04-29,0,False
2018-05-06,25,False
2018-05-13,52,False
2018-05-20,39,False
2018-05-27,25,False
2018-06-03,37,False
2018-06-10,31,False
2018-06-17,26,False
2018-06-24,59,False
2018-07-01,24,False
2018-07-08,33,False
2018-07-15,37,False
2018-07-22,50,False
2018-07-29,65,False
2018-08-05,31,False
2018-08-12,83,False
2018-08-19,49,False
2018-08-26,25,False
2018-09-02,100,False
2018-09-09,25,False
2018-09-16,51,False
2018-09-23,43,False
2018-09-30,26,False
2018-10-07,27,False
2018-10-14,26,False
2018-10-21,27,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,26,False
2019-01-13,25,False
2019-01-20,24,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,27,False
2019-02-24,28,False
2019-03-03,26,False
2019-03-10,26,False
2019-03-17,26,False
2019-03-24,25,False
2019-03-31,23,False
2019-04-07,22,False
2019-04-14,23,False
2019-04-21,30,False
2019-04-28,21,False
2019-05-05,21,False
2019-05-12,21,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,39,False
2019-06-09,41,False
2019-06-16,42,False
2019-06-23,35,False
2019-06-30,40,False
2019-07-07,40,False
2019-07-14,50,False
2019-07-21,22,False
2019-07-28,30,False
2019-08-04,32,False
2019-08-11,28,False
2019-08-18,22,False
2019-08-25,34,False
2019-09-01,35,False
2019-09-08,21,False
2019-09-15,39,False
2019-09-22,29,False
2019-09-29,26,False
2019-10-06,63,False
2019-10-13,0,False
2019-10-20,28,False
2019-10-27,30,False
2019-11-03,38,False
2019-11-10,40,False
2019-11-17,21,False
2019-11-24,0,False
2019-12-01,21,False
2019-12-08,20,False
2019-12-15,0,False
2019-12-22,22,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,19,False
2020-01-19,20,False
2020-01-26,19,False
2020-02-02,20,False
2020-02-09,39,False
2020-02-16,0,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,28,False
2020-03-15,36,False
2020-03-22,18,False
2020-03-29,0,False
2020-04-05,17,False
2020-04-12,0,False
2020-04-19,29,False
2020-04-26,16,False
2020-05-03,17,False
2020-05-10,17,False
2020-05-17,0,True
