date,alquiler de minibus,isPartial
2018-01-07,33,False
2018-01-14,100,False
2018-01-21,33,False
2018-01-28,17,False
2018-02-04,33,False
2018-02-11,17,False
2018-02-18,17,False
2018-02-25,32,False
2018-03-04,16,False
2018-03-11,40,False
2018-03-18,25,False
2018-03-25,37,False
2018-04-01,17,False
2018-04-08,79,False
2018-04-15,16,False
2018-04-22,32,False
2018-04-29,83,False
2018-05-06,32,False
2018-05-13,25,False
2018-05-20,24,False
2018-05-27,16,False
2018-06-03,32,False
2018-06-10,0,False
2018-06-17,17,False
2018-06-24,25,False
2018-07-01,17,False
2018-07-08,42,False
2018-07-15,26,False
2018-07-22,35,False
2018-07-29,26,False
2018-08-05,35,False
2018-08-12,18,False
2018-08-19,36,False
2018-08-26,34,False
2018-09-02,32,False
2018-09-09,0,False
2018-09-16,24,False
2018-09-23,32,False
2018-09-30,16,False
2018-10-07,17,False
2018-10-14,16,False
2018-10-21,24,False
2018-10-28,17,False
2018-11-04,31,False
2018-11-11,24,False
2018-11-18,15,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,16,False
2019-01-13,0,False
2019-01-20,15,False
2019-01-27,30,False
2019-02-03,40,False
2019-02-10,32,False
2019-02-17,32,False
2019-02-24,16,False
2019-03-03,33,False
2019-03-10,32,False
2019-03-17,16,False
2019-03-24,32,False
2019-03-31,31,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,24,False
2019-04-28,39,False
2019-05-05,31,False
2019-05-12,16,False
2019-05-19,23,False
2019-05-26,15,False
2019-06-02,30,False
2019-06-09,15,False
2019-06-16,64,False
2019-06-23,16,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,41,False
2019-07-21,16,False
2019-07-28,17,False
2019-08-04,17,False
2019-08-11,17,False
2019-08-18,17,False
2019-08-25,16,False
2019-09-01,30,False
2019-09-08,22,False
2019-09-15,15,False
2019-09-22,15,False
2019-09-29,45,False
2019-10-06,15,False
2019-10-13,14,False
2019-10-20,29,False
2019-10-27,22,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,14,False
2019-11-24,14,False
2019-12-01,44,False
2019-12-08,15,False
2019-12-15,14,False
2019-12-22,16,False
2019-12-29,0,False
2020-01-05,15,False
2020-01-12,26,False
2020-01-19,13,False
2020-01-26,28,False
2020-02-02,34,False
2020-02-09,27,False
2020-02-16,48,False
2020-02-23,13,False
2020-03-01,13,False
2020-03-08,13,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
