date,Torta nuziale,isPartial
2018-01-07,25,False
2018-01-14,25,False
2018-01-21,31,False
2018-01-28,19,False
2018-02-04,33,False
2018-02-11,29,False
2018-02-18,18,False
2018-02-25,20,False
2018-03-04,22,False
2018-03-11,16,False
2018-03-18,18,False
2018-03-25,30,False
2018-04-01,13,False
2018-04-08,39,False
2018-04-15,21,False
2018-04-22,11,False
2018-04-29,29,False
2018-05-06,21,False
2018-05-13,58,False
2018-05-20,100,False
2018-05-27,36,False
2018-06-03,31,False
2018-06-10,36,False
2018-06-17,35,False
2018-06-24,33,False
2018-07-01,27,False
2018-07-08,47,False
2018-07-15,32,False
2018-07-22,23,False
2018-07-29,30,False
2018-08-05,22,False
2018-08-12,19,False
2018-08-19,34,False
2018-08-26,28,False
2018-09-02,45,False
2018-09-09,20,False
2018-09-16,16,False
2018-09-23,16,False
2018-09-30,18,False
2018-10-07,27,False
2018-10-14,19,False
2018-10-21,10,False
2018-10-28,14,False
2018-11-04,10,False
2018-11-11,19,False
2018-11-18,8,False
2018-11-25,14,False
2018-12-02,8,False
2018-12-09,15,False
2018-12-16,7,False
2018-12-23,5,False
2018-12-30,9,False
2019-01-06,12,False
2019-01-13,32,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,19,False
2019-02-10,14,False
2019-02-17,18,False
2019-02-24,20,False
2019-03-03,29,False
2019-03-10,14,False
2019-03-17,27,False
2019-03-24,19,False
2019-03-31,27,False
2019-04-07,26,False
2019-04-14,8,False
2019-04-21,24,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,28,False
2019-05-19,29,False
2019-05-26,17,False
2019-06-02,30,False
2019-06-09,18,False
2019-06-16,18,False
2019-06-23,17,False
2019-06-30,29,False
2019-07-07,22,False
2019-07-14,21,False
2019-07-21,21,False
2019-07-28,23,False
2019-08-04,15,False
2019-08-11,19,False
2019-08-18,20,False
2019-08-25,26,False
2019-09-01,17,False
2019-09-08,14,False
2019-09-15,30,False
2019-09-22,17,False
2019-09-29,15,False
2019-10-06,8,False
2019-10-13,17,False
2019-10-20,6,False
2019-10-27,17,False
2019-11-03,15,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,7,False
2019-12-01,10,False
2019-12-08,6,False
2019-12-15,12,False
2019-12-22,16,False
2019-12-29,13,False
2020-01-05,17,False
2020-01-12,25,False
2020-01-19,13,False
2020-01-26,26,False
2020-02-02,16,False
2020-02-09,13,False
2020-02-16,7,False
2020-02-23,17,False
2020-03-01,17,False
2020-03-08,8,False
2020-03-15,6,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,23,False
2020-04-12,15,False
2020-04-19,16,False
2020-04-26,0,True
