date,Torta nuziale,isPartial
2018-01-07,27,False
2018-01-14,53,False
2018-01-21,26,False
2018-01-28,40,False
2018-02-04,26,False
2018-02-11,39,False
2018-02-18,38,False
2018-02-25,100,False
2018-03-04,24,False
2018-03-11,50,False
2018-03-18,25,False
2018-03-25,26,False
2018-04-01,28,False
2018-04-08,38,False
2018-04-15,52,False
2018-04-22,67,False
2018-04-29,39,False
2018-05-06,38,False
2018-05-13,50,False
2018-05-20,100,False
2018-05-27,51,False
2018-06-03,52,False
2018-06-10,25,False
2018-06-17,52,False
2018-06-24,79,False
2018-07-01,52,False
2018-07-08,78,False
2018-07-15,26,False
2018-07-22,54,False
2018-07-29,28,False
2018-08-05,46,False
2018-08-12,0,False
2018-08-19,34,False
2018-08-26,41,False
2018-09-02,25,False
2018-09-09,24,False
2018-09-16,49,False
2018-09-23,49,False
2018-09-30,49,False
2018-10-07,25,False
2018-10-14,50,False
2018-10-21,24,False
2018-10-28,61,False
2018-11-04,71,False
2018-11-11,24,False
2018-11-18,24,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,48,False
2018-12-16,0,False
2018-12-23,59,False
2018-12-30,29,False
2019-01-06,25,False
2019-01-13,47,False
2019-01-20,47,False
2019-01-27,0,False
2019-02-03,36,False
2019-02-10,0,False
2019-02-17,36,False
2019-02-24,25,False
2019-03-03,25,False
2019-03-10,49,False
2019-03-17,25,False
2019-03-24,0,False
2019-03-31,51,False
2019-04-07,37,False
2019-04-14,26,False
2019-04-21,42,False
2019-04-28,39,False
2019-05-05,74,False
2019-05-12,48,False
2019-05-19,48,False
2019-05-26,35,False
2019-06-02,25,False
2019-06-09,50,False
2019-06-16,25,False
2019-06-23,26,False
2019-06-30,51,False
2019-07-07,64,False
2019-07-14,26,False
2019-07-21,27,False
2019-07-28,0,False
2019-08-04,30,False
2019-08-11,34,False
2019-08-18,0,False
2019-08-25,28,False
2019-09-01,24,False
2019-09-08,24,False
2019-09-15,47,False
2019-09-22,35,False
2019-09-29,69,False
2019-10-06,47,False
2019-10-13,0,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,33,False
2019-12-01,34,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,41,False
2020-01-05,23,False
2020-01-12,42,False
2020-01-19,55,False
2020-01-26,32,False
2020-02-02,0,False
2020-02-09,54,False
2020-02-16,54,False
2020-02-23,40,False
2020-03-01,20,False
2020-03-08,20,False
2020-03-15,31,False
2020-03-22,19,False
2020-03-29,20,False
2020-04-05,21,False
2020-04-12,42,False
2020-04-19,40,False
2020-04-26,35,True
