date,cours mathématique,isPartial
2018-01-07,41,False
2018-01-14,0,False
2018-01-21,40,False
2018-01-28,41,False
2018-02-04,0,False
2018-02-11,83,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,42,False
2018-03-25,42,False
2018-04-01,86,False
2018-04-08,0,False
2018-04-15,45,False
2018-04-22,44,False
2018-04-29,0,False
2018-05-06,45,False
2018-05-13,41,False
2018-05-20,42,False
2018-05-27,81,False
2018-06-03,40,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,41,False
2018-07-01,40,False
2018-07-08,42,False
2018-07-15,0,False
2018-07-22,46,False
2018-07-29,49,False
2018-08-05,51,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,45,False
2018-09-02,42,False
2018-09-09,68,False
2018-09-16,40,False
2018-09-23,41,False
2018-09-30,81,False
2018-10-07,40,False
2018-10-14,39,False
2018-10-21,40,False
2018-10-28,44,False
2018-11-04,40,False
2018-11-11,39,False
2018-11-18,40,False
2018-11-25,0,False
2018-12-02,41,False
2018-12-09,42,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,41,False
2019-01-13,0,False
2019-01-20,40,False
2019-01-27,59,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,40,False
2019-02-24,42,False
2019-03-03,41,False
2019-03-10,62,False
2019-03-17,42,False
2019-03-24,43,False
2019-03-31,0,False
2019-04-07,43,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,46,False
2019-05-05,90,False
2019-05-12,43,False
2019-05-19,43,False
2019-05-26,0,False
2019-06-02,39,False
2019-06-09,85,False
2019-06-16,57,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,50,False
2019-07-28,52,False
2019-08-04,55,False
2019-08-11,57,False
2019-08-18,54,False
2019-08-25,48,False
2019-09-01,43,False
2019-09-08,84,False
2019-09-15,0,False
2019-09-22,40,False
2019-09-29,40,False
2019-10-06,42,False
2019-10-13,56,False
2019-10-20,0,False
2019-10-27,43,False
2019-11-03,40,False
2019-11-10,0,False
2019-11-17,41,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,39,False
2019-12-15,41,False
2019-12-22,49,False
2019-12-29,46,False
2020-01-05,39,False
2020-01-12,39,False
2020-01-19,61,False
2020-01-26,39,False
2020-02-02,40,False
2020-02-09,0,False
2020-02-16,83,False
2020-02-23,39,False
2020-03-01,38,False
2020-03-08,0,False
2020-03-15,40,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,100,False
2020-04-12,41,False
2020-04-19,0,False
2020-04-26,59,False
2020-05-03,75,False
2020-05-10,39,False
2020-05-17,93,True
