date,cours mathématique,isPartial
2018-01-07,52,False
2018-01-14,77,False
2018-01-21,78,False
2018-01-28,26,False
2018-02-04,39,False
2018-02-11,44,False
2018-02-18,54,False
2018-02-25,0,False
2018-03-04,26,False
2018-03-11,52,False
2018-03-18,26,False
2018-03-25,40,False
2018-04-01,0,False
2018-04-08,35,False
2018-04-15,42,False
2018-04-22,54,False
2018-04-29,54,False
2018-05-06,42,False
2018-05-13,26,False
2018-05-20,40,False
2018-05-27,52,False
2018-06-03,52,False
2018-06-10,25,False
2018-06-17,26,False
2018-06-24,53,False
2018-07-01,43,False
2018-07-08,27,False
2018-07-15,29,False
2018-07-22,0,False
2018-07-29,29,False
2018-08-05,58,False
2018-08-12,30,False
2018-08-19,29,False
2018-08-26,27,False
2018-09-02,27,False
2018-09-09,72,False
2018-09-16,67,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,45,False
2018-10-14,36,False
2018-10-21,0,False
2018-10-28,27,False
2018-11-04,61,False
2018-11-11,52,False
2018-11-18,43,False
2018-11-25,52,False
2018-12-02,52,False
2018-12-09,27,False
2018-12-16,27,False
2018-12-23,51,False
2018-12-30,43,False
2019-01-06,39,False
2019-01-13,39,False
2019-01-20,34,False
2019-01-27,50,False
2019-02-03,26,False
2019-02-10,27,False
2019-02-17,27,False
2019-02-24,27,False
2019-03-03,52,False
2019-03-10,39,False
2019-03-17,27,False
2019-03-24,67,False
2019-03-31,39,False
2019-04-07,53,False
2019-04-14,27,False
2019-04-21,54,False
2019-04-28,35,False
2019-05-05,26,False
2019-05-12,52,False
2019-05-19,26,False
2019-05-26,26,False
2019-06-02,24,False
2019-06-09,33,False
2019-06-16,35,False
2019-06-23,26,False
2019-06-30,51,False
2019-07-07,43,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,28,False
2019-08-04,55,False
2019-08-11,55,False
2019-08-18,83,False
2019-08-25,26,False
2019-09-01,59,False
2019-09-08,100,False
2019-09-15,66,False
2019-09-22,72,False
2019-09-29,32,False
2019-10-06,41,False
2019-10-13,40,False
2019-10-20,0,False
2019-10-27,36,False
2019-11-03,0,False
2019-11-10,40,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,58,False
2019-12-08,39,False
2019-12-15,36,False
2019-12-22,0,False
2019-12-29,25,False
2020-01-05,23,False
2020-01-12,22,False
2020-01-19,62,False
2020-01-26,46,False
2020-02-02,30,False
2020-02-09,45,False
2020-02-16,46,False
2020-02-23,30,False
2020-03-01,44,False
2020-03-08,36,False
2020-03-15,62,False
2020-03-22,68,False
2020-03-29,54,False
2020-04-05,61,False
2020-04-12,62,False
2020-04-19,60,False
2020-04-26,45,False
2020-05-03,48,False
2020-05-10,31,False
2020-05-17,0,True
