date,Heizung einbauen,isPartial
2018-01-07,43,False
2018-01-14,43,False
2018-01-21,0,False
2018-01-28,43,False
2018-02-04,89,False
2018-02-11,44,False
2018-02-18,0,False
2018-02-25,43,False
2018-03-04,44,False
2018-03-11,44,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,47,False
2018-04-08,44,False
2018-04-15,45,False
2018-04-22,43,False
2018-04-29,45,False
2018-05-06,46,False
2018-05-13,0,False
2018-05-20,46,False
2018-05-27,65,False
2018-06-03,0,False
2018-06-10,42,False
2018-06-17,42,False
2018-06-24,0,False
2018-07-01,43,False
2018-07-08,0,False
2018-07-15,67,False
2018-07-22,0,False
2018-07-29,93,False
2018-08-05,0,False
2018-08-12,46,False
2018-08-19,0,False
2018-08-26,45,False
2018-09-02,0,False
2018-09-09,44,False
2018-09-16,44,False
2018-09-23,74,False
2018-09-30,45,False
2018-10-07,0,False
2018-10-14,45,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,42,False
2018-11-11,43,False
2018-11-18,42,False
2018-11-25,42,False
2018-12-02,42,False
2018-12-09,42,False
2018-12-16,43,False
2018-12-23,99,False
2018-12-30,45,False
2019-01-06,61,False
2019-01-13,40,False
2019-01-20,40,False
2019-01-27,0,False
2019-02-03,40,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,42,False
2019-03-03,41,False
2019-03-10,40,False
2019-03-17,42,False
2019-03-24,42,False
2019-03-31,41,False
2019-04-07,0,False
2019-04-14,89,False
2019-04-21,44,False
2019-04-28,42,False
2019-05-05,54,False
2019-05-12,42,False
2019-05-19,42,False
2019-05-26,43,False
2019-06-02,41,False
2019-06-09,0,False
2019-06-16,42,False
2019-06-23,42,False
2019-06-30,41,False
2019-07-07,0,False
2019-07-14,44,False
2019-07-21,47,False
2019-07-28,46,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,87,False
2019-08-25,42,False
2019-09-01,82,False
2019-09-08,42,False
2019-09-15,42,False
2019-09-22,41,False
2019-09-29,41,False
2019-10-06,81,False
2019-10-13,41,False
2019-10-20,0,False
2019-10-27,40,False
2019-11-03,57,False
2019-11-10,58,False
2019-11-17,63,False
2019-11-24,56,False
2019-12-01,38,False
2019-12-08,0,False
2019-12-15,39,False
2019-12-22,45,False
2019-12-29,42,False
2020-01-05,37,False
2020-01-12,36,False
2020-01-19,56,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,71,False
2020-02-16,37,False
2020-02-23,53,False
2020-03-01,53,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,67,False
2020-03-29,100,False
2020-04-05,73,False
2020-04-12,34,False
2020-04-19,34,False
2020-04-26,33,False
2020-05-03,45,False
2020-05-10,34,False
