date,Fitness Coach,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,38,False
2018-01-28,39,False
2018-02-04,0,False
2018-02-11,40,False
2018-02-18,39,False
2018-02-25,39,False
2018-03-04,40,False
2018-03-11,79,False
2018-03-18,40,False
2018-03-25,0,False
2018-04-01,86,False
2018-04-08,0,False
2018-04-15,41,False
2018-04-22,61,False
2018-04-29,84,False
2018-05-06,84,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,44,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,40,False
2018-06-24,40,False
2018-07-01,59,False
2018-07-08,40,False
2018-07-15,0,False
2018-07-22,41,False
2018-07-29,42,False
2018-08-05,43,False
2018-08-12,0,False
2018-08-19,44,False
2018-08-26,0,False
2018-09-02,42,False
2018-09-09,41,False
2018-09-16,40,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,40,False
2018-10-14,0,False
2018-10-21,39,False
2018-10-28,0,False
2018-11-04,38,False
2018-11-11,0,False
2018-11-18,37,False
2018-11-25,38,False
2018-12-02,0,False
2018-12-09,38,False
2018-12-16,0,False
2018-12-23,46,False
2018-12-30,69,False
2019-01-06,74,False
2019-01-13,0,False
2019-01-20,36,False
2019-01-27,36,False
2019-02-03,36,False
2019-02-10,0,False
2019-02-17,38,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,36,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,37,False
2019-04-07,37,False
2019-04-14,40,False
2019-04-21,40,False
2019-04-28,0,False
2019-05-05,36,False
2019-05-12,37,False
2019-05-19,37,False
2019-05-26,38,False
2019-06-02,0,False
2019-06-09,80,False
2019-06-16,0,False
2019-06-23,38,False
2019-06-30,37,False
2019-07-07,36,False
2019-07-14,50,False
2019-07-21,39,False
2019-07-28,39,False
2019-08-04,41,False
2019-08-11,40,False
2019-08-18,41,False
2019-08-25,42,False
2019-09-01,0,False
2019-09-08,38,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,37,False
2019-10-06,72,False
2019-10-13,36,False
2019-10-20,35,False
2019-10-27,35,False
2019-11-03,69,False
2019-11-10,53,False
2019-11-17,0,False
2019-11-24,34,False
2019-12-01,36,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,39,False
2020-01-05,34,False
2020-01-12,81,False
2020-01-19,100,False
2020-01-26,33,False
2020-02-02,44,False
2020-02-09,33,False
2020-02-16,0,False
2020-02-23,32,False
2020-03-01,0,False
2020-03-08,30,False
2020-03-15,0,False
2020-03-22,29,False
2020-03-29,0,False
2020-04-05,32,False
2020-04-12,0,False
2020-04-19,30,False
2020-04-26,0,False
2020-05-03,30,False
2020-05-10,59,False
2020-05-17,71,True
