date,bomboniere solidali comunione,isPartial
2018-01-07,47,False
2018-01-14,28,False
2018-01-21,46,False
2018-01-28,73,False
2018-02-04,27,False
2018-02-11,46,False
2018-02-18,62,False
2018-02-25,26,False
2018-03-04,71,False
2018-03-11,90,False
2018-03-18,45,False
2018-03-25,57,False
2018-04-01,79,False
2018-04-08,64,False
2018-04-15,75,False
2018-04-22,29,False
2018-04-29,46,False
2018-05-06,18,False
2018-05-13,27,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,19,False
2018-06-10,0,False
2018-06-17,37,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,18,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,42,False
2018-08-19,41,False
2018-08-26,19,False
2018-09-02,18,False
2018-09-09,0,False
2018-09-16,18,False
2018-09-23,18,False
2018-09-30,18,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,18,False
2018-10-28,36,False
2018-11-04,18,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,37,False
2018-12-02,0,False
2018-12-09,18,False
2018-12-16,19,False
2018-12-23,44,False
2018-12-30,20,False
2019-01-06,0,False
2019-01-13,36,False
2019-01-20,35,False
2019-01-27,34,False
2019-02-03,35,False
2019-02-10,70,False
2019-02-17,45,False
2019-02-24,44,False
2019-03-03,19,False
2019-03-10,54,False
2019-03-17,56,False
2019-03-24,46,False
2019-03-31,100,False
2019-04-07,45,False
2019-04-14,19,False
2019-04-21,19,False
2019-04-28,18,False
2019-05-05,18,False
2019-05-12,0,False
2019-05-19,17,False
2019-05-26,17,False
2019-06-02,0,False
2019-06-09,18,False
2019-06-16,18,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,19,False
2019-08-11,21,False
2019-08-18,0,False
2019-08-25,18,False
2019-09-01,0,False
2019-09-08,17,False
2019-09-15,0,False
2019-09-22,17,False
2019-09-29,51,False
2019-10-06,52,False
2019-10-13,26,False
2019-10-20,33,False
2019-10-27,25,False
2019-11-03,0,False
2019-11-10,16,False
2019-11-17,16,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,17,False
2019-12-15,17,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,47,False
2020-01-19,48,False
2020-01-26,55,False
2020-02-02,62,False
2020-02-09,40,False
2020-02-16,72,False
2020-02-23,30,False
2020-03-01,37,False
2020-03-08,14,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
