date,agence de mariage,isPartial
2018-01-07,0,False
2018-01-14,23,False
2018-01-21,61,False
2018-01-28,31,False
2018-02-04,30,False
2018-02-11,23,False
2018-02-18,35,False
2018-02-25,46,False
2018-03-04,35,False
2018-03-11,57,False
2018-03-18,23,False
2018-03-25,31,False
2018-04-01,24,False
2018-04-08,31,False
2018-04-15,100,False
2018-04-22,48,False
2018-04-29,48,False
2018-05-06,61,False
2018-05-13,31,False
2018-05-20,32,False
2018-05-27,46,False
2018-06-03,47,False
2018-06-10,44,False
2018-06-17,62,False
2018-06-24,35,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,50,False
2018-07-22,50,False
2018-07-29,25,False
2018-08-05,64,False
2018-08-12,44,False
2018-08-19,51,False
2018-08-26,32,False
2018-09-02,0,False
2018-09-09,47,False
2018-09-16,47,False
2018-09-23,40,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,47,False
2018-10-21,24,False
2018-10-28,24,False
2018-11-04,46,False
2018-11-11,69,False
2018-11-18,45,False
2018-11-25,23,False
2018-12-02,35,False
2018-12-09,47,False
2018-12-16,48,False
2018-12-23,41,False
2018-12-30,50,False
2019-01-06,38,False
2019-01-13,35,False
2019-01-20,22,False
2019-01-27,33,False
2019-02-03,34,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,47,False
2019-03-03,34,False
2019-03-10,23,False
2019-03-17,63,False
2019-03-24,72,False
2019-03-31,23,False
2019-04-07,24,False
2019-04-14,24,False
2019-04-21,24,False
2019-04-28,31,False
2019-05-05,34,False
2019-05-12,46,False
2019-05-19,23,False
2019-05-26,57,False
2019-06-02,36,False
2019-06-09,44,False
2019-06-16,23,False
2019-06-23,80,False
2019-06-30,45,False
2019-07-07,46,False
2019-07-14,23,False
2019-07-21,24,False
2019-07-28,25,False
2019-08-04,37,False
2019-08-11,49,False
2019-08-18,48,False
2019-08-25,45,False
2019-09-01,37,False
2019-09-08,33,False
2019-09-15,33,False
2019-09-22,56,False
2019-09-29,63,False
2019-10-06,43,False
2019-10-13,43,False
2019-10-20,76,False
2019-10-27,21,False
2019-11-03,28,False
2019-11-10,42,False
2019-11-17,31,False
2019-11-24,40,False
2019-12-01,0,False
2019-12-08,20,False
2019-12-15,42,False
2019-12-22,31,False
2019-12-29,22,False
2020-01-05,40,False
2020-01-12,39,False
2020-01-19,31,False
2020-01-26,0,False
2020-02-02,20,False
2020-02-09,33,False
2020-02-16,30,False
2020-02-23,40,False
2020-03-01,29,False
2020-03-08,19,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,30,False
2020-04-12,18,False
2020-04-19,18,False
2020-04-26,43,False
2020-05-03,17,False
2020-05-10,18,False
2020-05-17,44,True
