date,Haus renovieren,isPartial
2018-01-07,0,False
2018-01-14,37,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,39,False
2018-02-18,36,False
2018-02-25,37,False
2018-03-04,37,False
2018-03-11,36,False
2018-03-18,38,False
2018-03-25,0,False
2018-04-01,42,False
2018-04-08,40,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,39,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,40,False
2018-05-27,38,False
2018-06-03,0,False
2018-06-10,75,False
2018-06-17,38,False
2018-06-24,78,False
2018-07-01,0,False
2018-07-08,41,False
2018-07-15,0,False
2018-07-22,44,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,39,False
2018-08-19,39,False
2018-08-26,73,False
2018-09-02,39,False
2018-09-09,38,False
2018-09-16,76,False
2018-09-23,0,False
2018-09-30,39,False
2018-10-07,41,False
2018-10-14,0,False
2018-10-21,39,False
2018-10-28,37,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,36,False
2018-11-25,36,False
2018-12-02,36,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,93,False
2018-12-30,43,False
2019-01-06,35,False
2019-01-13,0,False
2019-01-20,35,False
2019-01-27,71,False
2019-02-03,0,False
2019-02-10,37,False
2019-02-17,75,False
2019-02-24,37,False
2019-03-03,34,False
2019-03-10,0,False
2019-03-17,37,False
2019-03-24,0,False
2019-03-31,36,False
2019-04-07,34,False
2019-04-14,41,False
2019-04-21,39,False
2019-04-28,36,False
2019-05-05,36,False
2019-05-12,36,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,36,False
2019-06-09,36,False
2019-06-16,72,False
2019-06-23,39,False
2019-06-30,37,False
2019-07-07,39,False
2019-07-14,40,False
2019-07-21,44,False
2019-07-28,44,False
2019-08-04,40,False
2019-08-11,56,False
2019-08-18,37,False
2019-08-25,37,False
2019-09-01,35,False
2019-09-08,36,False
2019-09-15,0,False
2019-09-22,72,False
2019-09-29,35,False
2019-10-06,37,False
2019-10-13,36,False
2019-10-20,35,False
2019-10-27,0,False
2019-11-03,34,False
2019-11-10,52,False
2019-11-17,34,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,36,False
2019-12-22,41,False
2019-12-29,41,False
2020-01-05,33,False
2020-01-12,32,False
2020-01-19,100,False
2020-01-26,32,False
2020-02-02,33,False
2020-02-09,0,False
2020-02-16,33,False
2020-02-23,31,False
2020-03-01,48,False
2020-03-08,0,False
2020-03-15,31,False
2020-03-22,29,False
2020-03-29,0,False
2020-04-05,65,False
2020-04-12,0,False
2020-04-19,30,False
2020-04-26,28,False
2020-05-03,30,False
2020-05-10,0,False
2020-05-17,32,False
2020-05-24,0,False
2020-05-31,31,False
2020-06-07,61,False
2020-06-14,30,False
2020-06-21,0,False
2020-06-28,66,False
2020-07-05,35,False
