date,Solaranlage,isPartial
2018-01-07,0,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,66,False
2018-02-04,35,False
2018-02-11,32,False
2018-02-18,31,False
2018-02-25,31,False
2018-03-04,79,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,68,False
2018-04-08,33,False
2018-04-15,100,False
2018-04-22,65,False
2018-04-29,33,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,66,False
2018-05-27,66,False
2018-06-03,47,False
2018-06-10,30,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,65,False
2018-07-22,0,False
2018-07-29,33,False
2018-08-05,32,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,31,False
2018-09-16,0,False
2018-09-23,61,False
2018-09-30,47,False
2018-10-07,47,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,31,False
2018-11-04,45,False
2018-11-11,30,False
2018-11-18,58,False
2018-11-25,59,False
2018-12-02,30,False
2018-12-09,30,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,27,False
2019-01-13,0,False
2019-01-20,42,False
2019-01-27,43,False
2019-02-03,30,False
2019-02-10,28,False
2019-02-17,57,False
2019-02-24,28,False
2019-03-03,43,False
2019-03-10,0,False
2019-03-17,29,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,29,False
2019-04-14,32,False
2019-04-21,30,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,27,False
2019-05-19,0,False
2019-05-26,28,False
2019-06-02,58,False
2019-06-09,45,False
2019-06-16,0,False
2019-06-23,44,False
2019-06-30,29,False
2019-07-07,56,False
2019-07-14,30,False
2019-07-21,45,False
2019-07-28,29,False
2019-08-04,30,False
2019-08-11,28,False
2019-08-18,27,False
2019-08-25,40,False
2019-09-01,26,False
2019-09-08,0,False
2019-09-15,28,False
2019-09-22,54,False
2019-09-29,40,False
2019-10-06,27,False
2019-10-13,53,False
2019-10-20,0,False
2019-10-27,79,False
2019-11-03,26,False
2019-11-10,51,False
2019-11-17,52,False
2019-11-24,26,False
2019-12-01,0,False
2019-12-08,80,False
2019-12-15,27,False
2019-12-22,58,False
2019-12-29,39,False
2020-01-05,71,False
2020-01-12,0,False
2020-01-19,49,False
2020-01-26,24,False
2020-02-02,0,False
2020-02-09,25,False
2020-02-16,25,False
2020-02-23,24,False
2020-03-01,60,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,41,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,33,False
2020-04-19,32,False
2020-04-26,21,False
2020-05-03,44,False
2020-05-10,33,False
2020-05-17,35,False
2020-05-24,22,False
2020-05-31,0,False
2020-06-07,23,False
2020-06-14,22,False
2020-06-21,0,False
2020-06-28,0,False
2020-07-05,26,False
