date,Solaranlage,isPartial
2018-01-07,32,False
2018-01-14,21,False
2018-01-21,21,False
2018-01-28,32,False
2018-02-04,45,False
2018-02-11,32,False
2018-02-18,22,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,42,False
2018-03-18,42,False
2018-03-25,23,False
2018-04-01,47,False
2018-04-08,54,False
2018-04-15,32,False
2018-04-22,41,False
2018-04-29,22,False
2018-05-06,34,False
2018-05-13,22,False
2018-05-20,23,False
2018-05-27,45,False
2018-06-03,22,False
2018-06-10,32,False
2018-06-17,0,False
2018-06-24,21,False
2018-07-01,46,False
2018-07-08,35,False
2018-07-15,96,False
2018-07-22,49,False
2018-07-29,25,False
2018-08-05,50,False
2018-08-12,26,False
2018-08-19,48,False
2018-08-26,23,False
2018-09-02,23,False
2018-09-09,22,False
2018-09-16,33,False
2018-09-23,22,False
2018-09-30,21,False
2018-10-07,20,False
2018-10-14,20,False
2018-10-21,41,False
2018-10-28,43,False
2018-11-04,41,False
2018-11-11,40,False
2018-11-18,28,False
2018-11-25,19,False
2018-12-02,20,False
2018-12-09,20,False
2018-12-16,20,False
2018-12-23,38,False
2018-12-30,24,False
2019-01-06,43,False
2019-01-13,0,False
2019-01-20,21,False
2019-01-27,53,False
2019-02-03,44,False
2019-02-10,42,False
2019-02-17,21,False
2019-02-24,83,False
2019-03-03,41,False
2019-03-10,20,False
2019-03-17,21,False
2019-03-24,63,False
2019-03-31,32,False
2019-04-07,84,False
2019-04-14,23,False
2019-04-21,0,False
2019-04-28,21,False
2019-05-05,51,False
2019-05-12,41,False
2019-05-19,41,False
2019-05-26,43,False
2019-06-02,22,False
2019-06-09,34,False
2019-06-16,66,False
2019-06-23,22,False
2019-06-30,34,False
2019-07-07,0,False
2019-07-14,24,False
2019-07-21,100,False
2019-07-28,25,False
2019-08-04,25,False
2019-08-11,63,False
2019-08-18,24,False
2019-08-25,0,False
2019-09-01,42,False
2019-09-08,0,False
2019-09-15,21,False
2019-09-22,40,False
2019-09-29,20,False
2019-10-06,39,False
2019-10-13,39,False
2019-10-20,19,False
2019-10-27,40,False
2019-11-03,19,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,56,False
2019-12-01,38,False
2019-12-08,19,False
2019-12-15,39,False
2019-12-22,24,False
2019-12-29,50,False
2020-01-05,22,False
2020-01-12,46,False
2020-01-19,0,False
2020-01-26,28,False
2020-02-02,49,False
2020-02-09,19,False
2020-02-16,56,False
2020-02-23,18,False
2020-03-01,35,False
2020-03-08,34,False
2020-03-15,36,False
2020-03-22,19,False
2020-03-29,78,False
2020-04-05,43,False
2020-04-12,61,False
2020-04-19,49,False
2020-04-26,60,False
2020-05-03,58,False
2020-05-10,57,False
2020-05-17,50,False
2020-05-24,19,False
2020-05-31,76,False
2020-06-07,0,False
2020-06-14,46,False
2020-06-21,46,False
2020-06-28,19,False
2020-07-05,39,False
