date,Pastelería,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,0,False
2018-01-28,41,False
2018-02-04,20,False
2018-02-11,30,False
2018-02-18,41,False
2018-02-25,20,False
2018-03-04,20,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,56,False
2018-04-01,31,False
2018-04-08,0,False
2018-04-15,21,False
2018-04-22,43,False
2018-04-29,21,False
2018-05-06,40,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,59,False
2018-06-10,20,False
2018-06-17,65,False
2018-06-24,22,False
2018-07-01,33,False
2018-07-08,44,False
2018-07-15,57,False
2018-07-22,46,False
2018-07-29,23,False
2018-08-05,46,False
2018-08-12,24,False
2018-08-19,34,False
2018-08-26,0,False
2018-09-02,52,False
2018-09-09,31,False
2018-09-16,21,False
2018-09-23,62,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,40,False
2018-10-21,31,False
2018-10-28,21,False
2018-11-04,59,False
2018-11-11,100,False
2018-11-18,20,False
2018-11-25,51,False
2018-12-02,42,False
2018-12-09,20,False
2018-12-16,51,False
2018-12-23,23,False
2018-12-30,55,False
2019-01-06,20,False
2019-01-13,38,False
2019-01-20,36,False
2019-01-27,38,False
2019-02-03,59,False
2019-02-10,40,False
2019-02-17,61,False
2019-02-24,40,False
2019-03-03,20,False
2019-03-10,30,False
2019-03-17,83,False
2019-03-24,21,False
2019-03-31,30,False
2019-04-07,0,False
2019-04-14,67,False
2019-04-21,20,False
2019-04-28,59,False
2019-05-05,40,False
2019-05-12,40,False
2019-05-19,30,False
2019-05-26,29,False
2019-06-02,28,False
2019-06-09,29,False
2019-06-16,63,False
2019-06-23,32,False
2019-06-30,33,False
2019-07-07,21,False
2019-07-14,0,False
2019-07-21,46,False
2019-07-28,23,False
2019-08-04,23,False
2019-08-11,57,False
2019-08-18,31,False
2019-08-25,0,False
2019-09-01,39,False
2019-09-08,59,False
2019-09-15,67,False
2019-09-22,39,False
2019-09-29,38,False
2019-10-06,20,False
2019-10-13,37,False
2019-10-20,28,False
2019-10-27,37,False
2019-11-03,18,False
2019-11-10,35,False
2019-11-17,36,False
2019-11-24,26,False
2019-12-01,66,False
2019-12-08,75,False
2019-12-15,28,False
2019-12-22,98,False
2019-12-29,87,False
2020-01-05,45,False
2020-01-12,0,False
2020-01-19,16,False
2020-01-26,43,False
2020-02-02,26,False
2020-02-09,44,False
2020-02-16,17,False
2020-02-23,24,False
2020-03-01,40,False
2020-03-08,24,False
2020-03-15,30,False
2020-03-22,14,False
2020-03-29,21,False
2020-04-05,68,False
2020-04-12,50,True
