date,Pastelería,isPartial
2018-01-07,22,False
2018-01-14,16,False
2018-01-21,20,False
2018-01-28,17,False
2018-02-04,20,False
2018-02-11,27,False
2018-02-18,17,False
2018-02-25,20,False
2018-03-04,23,False
2018-03-11,21,False
2018-03-18,25,False
2018-03-25,25,False
2018-04-01,17,False
2018-04-08,22,False
2018-04-15,14,False
2018-04-22,15,False
2018-04-29,30,False
2018-05-06,24,False
2018-05-13,22,False
2018-05-20,26,False
2018-05-27,13,False
2018-06-03,15,False
2018-06-10,20,False
2018-06-17,24,False
2018-06-24,21,False
2018-07-01,22,False
2018-07-08,16,False
2018-07-15,15,False
2018-07-22,19,False
2018-07-29,27,False
2018-08-05,15,False
2018-08-12,20,False
2018-08-19,21,False
2018-08-26,20,False
2018-09-02,19,False
2018-09-09,32,False
2018-09-16,12,False
2018-09-23,13,False
2018-09-30,32,False
2018-10-07,35,False
2018-10-14,22,False
2018-10-21,25,False
2018-10-28,39,False
2018-11-04,23,False
2018-11-11,35,False
2018-11-18,23,False
2018-11-25,21,False
2018-12-02,19,False
2018-12-09,36,False
2018-12-16,38,False
2018-12-23,47,False
2018-12-30,100,False
2019-01-06,39,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,26,False
2019-02-03,25,False
2019-02-10,28,False
2019-02-17,38,False
2019-02-24,17,False
2019-03-03,15,False
2019-03-10,26,False
2019-03-17,30,False
2019-03-24,23,False
2019-03-31,23,False
2019-04-07,40,False
2019-04-14,45,False
2019-04-21,28,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,29,False
2019-05-19,32,False
2019-05-26,10,False
2019-06-02,17,False
2019-06-09,29,False
2019-06-16,12,False
2019-06-23,17,False
2019-06-30,22,False
2019-07-07,26,False
2019-07-14,24,False
2019-07-21,22,False
2019-07-28,26,False
2019-08-04,18,False
2019-08-11,35,False
2019-08-18,39,False
2019-08-25,26,False
2019-09-01,21,False
2019-09-08,19,False
2019-09-15,28,False
2019-09-22,40,False
2019-09-29,23,False
2019-10-06,26,False
2019-10-13,24,False
2019-10-20,25,False
2019-10-27,50,False
2019-11-03,20,False
2019-11-10,30,False
2019-11-17,38,False
2019-11-24,38,False
2019-12-01,39,False
2019-12-08,45,False
2019-12-15,42,False
2019-12-22,49,False
2019-12-29,98,False
2020-01-05,68,False
2020-01-12,45,False
2020-01-19,40,False
2020-01-26,26,False
2020-02-02,32,False
2020-02-09,31,False
2020-02-16,28,False
2020-02-23,35,False
2020-03-01,35,False
2020-03-08,19,False
2020-03-15,26,False
2020-03-22,23,False
2020-03-29,27,False
2020-04-05,49,False
2020-04-12,32,True
