date,appartement a rénover,isPartial
2018-01-07,56,False
2018-01-14,42,False
2018-01-21,0,False
2018-01-28,42,False
2018-02-04,42,False
2018-02-11,0,False
2018-02-18,44,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,43,False
2018-03-18,43,False
2018-03-25,43,False
2018-04-01,65,False
2018-04-08,43,False
2018-04-15,93,False
2018-04-22,44,False
2018-04-29,44,False
2018-05-06,46,False
2018-05-13,86,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,43,False
2018-06-10,41,False
2018-06-17,44,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,47,False
2018-07-29,94,False
2018-08-05,47,False
2018-08-12,0,False
2018-08-19,47,False
2018-08-26,45,False
2018-09-02,0,False
2018-09-09,43,False
2018-09-16,43,False
2018-09-23,0,False
2018-09-30,43,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,66,False
2018-10-28,0,False
2018-11-04,42,False
2018-11-11,85,False
2018-11-18,42,False
2018-11-25,43,False
2018-12-02,43,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,50,False
2018-12-30,47,False
2019-01-06,43,False
2019-01-13,43,False
2019-01-20,41,False
2019-01-27,41,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,44,False
2019-02-24,87,False
2019-03-03,63,False
2019-03-10,57,False
2019-03-17,44,False
2019-03-24,44,False
2019-03-31,85,False
2019-04-07,87,False
2019-04-14,44,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,63,False
2019-05-12,42,False
2019-05-19,42,False
2019-05-26,85,False
2019-06-02,39,False
2019-06-09,61,False
2019-06-16,63,False
2019-06-23,0,False
2019-06-30,42,False
2019-07-07,63,False
2019-07-14,44,False
2019-07-21,44,False
2019-07-28,45,False
2019-08-04,45,False
2019-08-11,45,False
2019-08-18,91,False
2019-08-25,85,False
2019-09-01,41,False
2019-09-08,41,False
2019-09-15,81,False
2019-09-22,39,False
2019-09-29,52,False
2019-10-06,79,False
2019-10-13,60,False
2019-10-20,80,False
2019-10-27,39,False
2019-11-03,77,False
2019-11-10,0,False
2019-11-17,78,False
2019-11-24,0,False
2019-12-01,76,False
2019-12-08,76,False
2019-12-15,39,False
2019-12-22,43,False
2019-12-29,41,False
2020-01-05,0,False
2020-01-12,36,False
2020-01-19,56,False
2020-01-26,37,False
2020-02-02,56,False
2020-02-09,56,False
2020-02-16,0,False
2020-02-23,54,False
2020-03-01,48,False
2020-03-08,0,False
2020-03-15,34,False
2020-03-22,33,False
2020-03-29,33,False
2020-04-05,33,False
2020-04-12,34,False
2020-04-19,66,False
2020-04-26,64,False
2020-05-03,63,False
2020-05-10,100,False
2020-05-17,83,True
