date,Folierung,isPartial
2018-01-07,34,False
2018-01-14,21,False
2018-01-21,35,False
2018-01-28,20,False
2018-02-04,62,False
2018-02-11,28,False
2018-02-18,52,False
2018-02-25,34,False
2018-03-04,20,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,22,False
2018-04-01,22,False
2018-04-08,49,False
2018-04-15,36,False
2018-04-22,31,False
2018-04-29,43,False
2018-05-06,35,False
2018-05-13,49,False
2018-05-20,21,False
2018-05-27,33,False
2018-06-03,41,False
2018-06-10,40,False
2018-06-17,60,False
2018-06-24,41,False
2018-07-01,31,False
2018-07-08,28,False
2018-07-15,44,False
2018-07-22,36,False
2018-07-29,21,False
2018-08-05,40,False
2018-08-12,69,False
2018-08-19,59,False
2018-08-26,20,False
2018-09-02,27,False
2018-09-09,27,False
2018-09-16,31,False
2018-09-23,20,False
2018-09-30,0,False
2018-10-07,43,False
2018-10-14,20,False
2018-10-21,39,False
2018-10-28,45,False
2018-11-04,47,False
2018-11-11,20,False
2018-11-18,19,False
2018-11-25,26,False
2018-12-02,32,False
2018-12-09,0,False
2018-12-16,20,False
2018-12-23,22,False
2018-12-30,41,False
2019-01-06,28,False
2019-01-13,55,False
2019-01-20,73,False
2019-01-27,43,False
2019-02-03,19,False
2019-02-10,28,False
2019-02-17,31,False
2019-02-24,46,False
2019-03-03,38,False
2019-03-10,56,False
2019-03-17,26,False
2019-03-24,19,False
2019-03-31,33,False
2019-04-07,26,False
2019-04-14,42,False
2019-04-21,52,False
2019-04-28,37,False
2019-05-05,37,False
2019-05-12,57,False
2019-05-19,28,False
2019-05-26,29,False
2019-06-02,29,False
2019-06-09,19,False
2019-06-16,47,False
2019-06-23,30,False
2019-06-30,57,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,21,False
2019-07-28,100,False
2019-08-04,60,False
2019-08-11,30,False
2019-08-18,39,False
2019-08-25,38,False
2019-09-01,18,False
2019-09-08,78,False
2019-09-15,19,False
2019-09-22,28,False
2019-09-29,37,False
2019-10-06,18,False
2019-10-13,19,False
2019-10-20,19,False
2019-10-27,35,False
2019-11-03,35,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,18,False
2019-12-01,0,False
2019-12-08,27,False
2019-12-15,54,False
2019-12-22,0,False
2019-12-29,19,False
2020-01-05,28,False
2020-01-12,49,False
2020-01-19,23,False
2020-01-26,33,False
2020-02-02,33,False
2020-02-09,17,False
2020-02-16,0,False
2020-02-23,22,False
2020-03-01,33,False
2020-03-08,23,False
2020-03-15,30,False
2020-03-22,15,False
2020-03-29,29,False
2020-04-05,25,False
2020-04-12,16,False
2020-04-19,24,False
2020-04-26,61,False
2020-05-03,15,False
2020-05-10,15,False
