date,Folierung,isPartial
2018-01-07,50,False
2018-01-14,25,False
2018-01-21,25,False
2018-01-28,0,False
2018-02-04,25,False
2018-02-11,62,False
2018-02-18,38,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,38,False
2018-03-18,0,False
2018-03-25,100,False
2018-04-01,27,False
2018-04-08,39,False
2018-04-15,40,False
2018-04-22,0,False
2018-04-29,51,False
2018-05-06,27,False
2018-05-13,51,False
2018-05-20,52,False
2018-05-27,50,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,24,False
2018-06-24,50,False
2018-07-01,49,False
2018-07-08,48,False
2018-07-15,26,False
2018-07-22,37,False
2018-07-29,25,False
2018-08-05,24,False
2018-08-12,36,False
2018-08-19,24,False
2018-08-26,24,False
2018-09-02,25,False
2018-09-09,0,False
2018-09-16,33,False
2018-09-23,25,False
2018-09-30,25,False
2018-10-07,53,False
2018-10-14,26,False
2018-10-21,24,False
2018-10-28,0,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,23,False
2018-11-25,24,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,25,False
2019-01-06,70,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,35,False
2019-02-03,35,False
2019-02-10,24,False
2019-02-17,47,False
2019-02-24,0,False
2019-03-03,30,False
2019-03-10,45,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,58,False
2019-04-07,25,False
2019-04-14,50,False
2019-04-21,48,False
2019-04-28,38,False
2019-05-05,31,False
2019-05-12,55,False
2019-05-19,46,False
2019-05-26,38,False
2019-06-02,23,False
2019-06-09,45,False
2019-06-16,23,False
2019-06-23,38,False
2019-06-30,22,False
2019-07-07,46,False
2019-07-14,23,False
2019-07-21,32,False
2019-07-28,37,False
2019-08-04,55,False
2019-08-11,21,False
2019-08-18,22,False
2019-08-25,29,False
2019-09-01,21,False
2019-09-08,22,False
2019-09-15,22,False
2019-09-22,37,False
2019-09-29,0,False
2019-10-06,33,False
2019-10-13,22,False
2019-10-20,42,False
2019-10-27,28,False
2019-11-03,28,False
2019-11-10,54,False
2019-11-17,28,False
2019-11-24,21,False
2019-12-01,54,False
2019-12-08,21,False
2019-12-15,44,False
2019-12-22,23,False
2019-12-29,21,False
2020-01-05,20,False
2020-01-12,40,False
2020-01-19,41,False
2020-01-26,20,False
2020-02-02,34,False
2020-02-09,49,False
2020-02-16,30,False
2020-02-23,20,False
2020-03-01,40,False
2020-03-08,37,False
2020-03-15,26,False
2020-03-22,44,False
2020-03-29,27,False
2020-04-05,39,False
2020-04-12,19,False
2020-04-19,18,False
2020-04-26,29,False
2020-05-03,27,False
2020-05-10,41,False
