date,restaurant haut gamme,isPartial
2018-01-07,49,False
2018-01-14,74,False
2018-01-21,41,False
2018-01-28,33,False
2018-02-04,49,False
2018-02-11,100,False
2018-02-18,26,False
2018-02-25,38,False
2018-03-04,50,False
2018-03-11,33,False
2018-03-18,42,False
2018-03-25,34,False
2018-04-01,52,False
2018-04-08,76,False
2018-04-15,41,False
2018-04-22,26,False
2018-04-29,86,False
2018-05-06,53,False
2018-05-13,51,False
2018-05-20,39,False
2018-05-27,50,False
2018-06-03,75,False
2018-06-10,24,False
2018-06-17,51,False
2018-06-24,51,False
2018-07-01,62,False
2018-07-08,43,False
2018-07-15,54,False
2018-07-22,27,False
2018-07-29,46,False
2018-08-05,64,False
2018-08-12,38,False
2018-08-19,42,False
2018-08-26,53,False
2018-09-02,60,False
2018-09-09,51,False
2018-09-16,39,False
2018-09-23,43,False
2018-09-30,51,False
2018-10-07,39,False
2018-10-14,43,False
2018-10-21,65,False
2018-10-28,60,False
2018-11-04,50,False
2018-11-11,50,False
2018-11-18,74,False
2018-11-25,75,False
2018-12-02,50,False
2018-12-09,60,False
2018-12-16,26,False
2018-12-23,49,False
2018-12-30,73,False
2019-01-06,42,False
2019-01-13,75,False
2019-01-20,57,False
2019-01-27,40,False
2019-02-03,48,False
2019-02-10,34,False
2019-02-17,26,False
2019-02-24,34,False
2019-03-03,37,False
2019-03-10,42,False
2019-03-17,39,False
2019-03-24,64,False
2019-03-31,25,False
2019-04-07,42,False
2019-04-14,52,False
2019-04-21,43,False
2019-04-28,25,False
2019-05-05,66,False
2019-05-12,33,False
2019-05-19,37,False
2019-05-26,62,False
2019-06-02,54,False
2019-06-09,24,False
2019-06-16,37,False
2019-06-23,25,False
2019-06-30,0,False
2019-07-07,49,False
2019-07-14,38,False
2019-07-21,26,False
2019-07-28,27,False
2019-08-04,27,False
2019-08-11,35,False
2019-08-18,66,False
2019-08-25,49,False
2019-09-01,60,False
2019-09-08,40,False
2019-09-15,56,False
2019-09-22,69,False
2019-09-29,31,False
2019-10-06,23,False
2019-10-13,70,False
2019-10-20,70,False
2019-10-27,57,False
2019-11-03,38,False
2019-11-10,46,False
2019-11-17,34,False
2019-11-24,22,False
2019-12-01,45,False
2019-12-08,22,False
2019-12-15,53,False
2019-12-22,63,False
2019-12-29,48,False
2020-01-05,22,False
2020-01-12,57,False
2020-01-19,37,False
2020-01-26,66,False
2020-02-02,36,False
2020-02-09,50,False
2020-02-16,51,False
2020-02-23,28,False
2020-03-01,28,False
2020-03-08,55,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,29,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,19,False
2020-04-26,25,False
2020-05-03,37,False
2020-05-10,19,False
2020-05-17,0,True
