date,monteur vidéo,isPartial
2018-01-07,89,False
2018-01-14,0,False
2018-01-21,59,False
2018-01-28,75,False
2018-02-04,89,False
2018-02-11,0,False
2018-02-18,77,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,61,False
2018-03-25,30,False
2018-04-01,31,False
2018-04-08,30,False
2018-04-15,33,False
2018-04-22,63,False
2018-04-29,31,False
2018-05-06,32,False
2018-05-13,50,False
2018-05-20,63,False
2018-05-27,30,False
2018-06-03,40,False
2018-06-10,29,False
2018-06-17,30,False
2018-06-24,0,False
2018-07-01,89,False
2018-07-08,62,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,100,False
2018-08-05,33,False
2018-08-12,0,False
2018-08-19,33,False
2018-08-26,63,False
2018-09-02,31,False
2018-09-09,46,False
2018-09-16,31,False
2018-09-23,62,False
2018-09-30,46,False
2018-10-07,31,False
2018-10-14,31,False
2018-10-21,62,False
2018-10-28,0,False
2018-11-04,30,False
2018-11-11,45,False
2018-11-18,69,False
2018-11-25,30,False
2018-12-02,60,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,35,False
2018-12-30,100,False
2019-01-06,30,False
2019-01-13,60,False
2019-01-20,39,False
2019-01-27,29,False
2019-02-03,29,False
2019-02-10,0,False
2019-02-17,31,False
2019-02-24,46,False
2019-03-03,30,False
2019-03-10,50,False
2019-03-17,0,False
2019-03-24,31,False
2019-03-31,0,False
2019-04-07,31,False
2019-04-14,31,False
2019-04-21,31,False
2019-04-28,45,False
2019-05-05,0,False
2019-05-12,60,False
2019-05-19,30,False
2019-05-26,30,False
2019-06-02,28,False
2019-06-09,29,False
2019-06-16,30,False
2019-06-23,74,False
2019-06-30,30,False
2019-07-07,44,False
2019-07-14,31,False
2019-07-21,31,False
2019-07-28,32,False
2019-08-04,96,False
2019-08-11,96,False
2019-08-18,0,False
2019-08-25,60,False
2019-09-01,0,False
2019-09-08,43,False
2019-09-15,58,False
2019-09-22,41,False
2019-09-29,55,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,65,False
2019-10-27,83,False
2019-11-03,27,False
2019-11-10,55,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,54,False
2019-12-08,41,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,26,False
2020-01-12,26,False
2020-01-19,44,False
2020-01-26,69,False
2020-02-02,40,False
2020-02-09,39,False
2020-02-16,26,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,25,False
2020-03-15,47,False
2020-03-22,39,False
2020-03-29,39,False
2020-04-05,35,False
2020-04-12,36,False
2020-04-19,23,False
2020-04-26,37,False
2020-05-03,45,False
2020-05-10,39,False
2020-05-17,59,True
