date,cheministe,isPartial
2018-01-07,48,False
2018-01-14,20,False
2018-01-21,34,False
2018-01-28,34,False
2018-02-04,51,False
2018-02-11,35,False
2018-02-18,32,False
2018-02-25,48,False
2018-03-04,21,False
2018-03-11,42,False
2018-03-18,70,False
2018-03-25,35,False
2018-04-01,42,False
2018-04-08,21,False
2018-04-15,67,False
2018-04-22,22,False
2018-04-29,21,False
2018-05-06,30,False
2018-05-13,0,False
2018-05-20,32,False
2018-05-27,21,False
2018-06-03,83,False
2018-06-10,40,False
2018-06-17,64,False
2018-06-24,42,False
2018-07-01,20,False
2018-07-08,21,False
2018-07-15,45,False
2018-07-22,45,False
2018-07-29,69,False
2018-08-05,46,False
2018-08-12,24,False
2018-08-19,38,False
2018-08-26,58,False
2018-09-02,28,False
2018-09-09,42,False
2018-09-16,49,False
2018-09-23,50,False
2018-09-30,49,False
2018-10-07,43,False
2018-10-14,50,False
2018-10-21,100,False
2018-10-28,93,False
2018-11-04,51,False
2018-11-11,51,False
2018-11-18,61,False
2018-11-25,62,False
2018-12-02,41,False
2018-12-09,42,False
2018-12-16,86,False
2018-12-23,61,False
2018-12-30,34,False
2019-01-06,21,False
2019-01-13,55,False
2019-01-20,30,False
2019-01-27,40,False
2019-02-03,60,False
2019-02-10,35,False
2019-02-17,21,False
2019-02-24,42,False
2019-03-03,54,False
2019-03-10,21,False
2019-03-17,21,False
2019-03-24,54,False
2019-03-31,21,False
2019-04-07,53,False
2019-04-14,50,False
2019-04-21,28,False
2019-04-28,31,False
2019-05-05,51,False
2019-05-12,42,False
2019-05-19,20,False
2019-05-26,28,False
2019-06-02,57,False
2019-06-09,20,False
2019-06-16,27,False
2019-06-23,20,False
2019-06-30,40,False
2019-07-07,21,False
2019-07-14,21,False
2019-07-21,32,False
2019-07-28,22,False
2019-08-04,29,False
2019-08-11,22,False
2019-08-18,22,False
2019-08-25,41,False
2019-09-01,40,False
2019-09-08,59,False
2019-09-15,39,False
2019-09-22,76,False
2019-09-29,51,False
2019-10-06,45,False
2019-10-13,48,False
2019-10-20,58,False
2019-10-27,96,False
2019-11-03,56,False
2019-11-10,63,False
2019-11-17,44,False
2019-11-24,30,False
2019-12-01,25,False
2019-12-08,50,False
2019-12-15,37,False
2019-12-22,21,False
2019-12-29,70,False
2020-01-05,82,False
2020-01-12,35,False
2020-01-19,55,False
2020-01-26,45,False
2020-02-02,42,False
2020-02-09,48,False
2020-02-16,43,False
2020-02-23,41,False
2020-03-01,46,False
2020-03-08,17,False
2020-03-15,22,False
2020-03-22,16,False
2020-03-29,24,False
2020-04-05,16,False
2020-04-12,16,False
2020-04-19,24,False
2020-04-26,31,False
2020-05-03,31,False
2020-05-10,72,False
2020-05-17,30,True
