date,composition florale,isPartial
2018-01-07,29,False
2018-01-14,29,False
2018-01-21,43,False
2018-01-28,30,False
2018-02-04,29,False
2018-02-11,29,False
2018-02-18,0,False
2018-02-25,56,False
2018-03-04,57,False
2018-03-11,29,False
2018-03-18,59,False
2018-03-25,60,False
2018-04-01,77,False
2018-04-08,31,False
2018-04-15,67,False
2018-04-22,47,False
2018-04-29,30,False
2018-05-06,32,False
2018-05-13,0,False
2018-05-20,32,False
2018-05-27,30,False
2018-06-03,0,False
2018-06-10,44,False
2018-06-17,0,False
2018-06-24,62,False
2018-07-01,31,False
2018-07-08,31,False
2018-07-15,0,False
2018-07-22,33,False
2018-07-29,33,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,33,False
2018-08-26,63,False
2018-09-02,0,False
2018-09-09,31,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,93,False
2018-10-07,62,False
2018-10-14,31,False
2018-10-21,32,False
2018-10-28,31,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,0,False
2018-11-25,30,False
2018-12-02,0,False
2018-12-09,31,False
2018-12-16,31,False
2018-12-23,34,False
2018-12-30,95,False
2019-01-06,0,False
2019-01-13,30,False
2019-01-20,57,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,29,False
2019-02-17,31,False
2019-02-24,59,False
2019-03-03,29,False
2019-03-10,29,False
2019-03-17,45,False
2019-03-24,88,False
2019-03-31,28,False
2019-04-07,0,False
2019-04-14,44,False
2019-04-21,29,False
2019-04-28,28,False
2019-05-05,41,False
2019-05-12,42,False
2019-05-19,56,False
2019-05-26,59,False
2019-06-02,28,False
2019-06-09,41,False
2019-06-16,43,False
2019-06-23,29,False
2019-06-30,0,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,59,False
2019-07-28,30,False
2019-08-04,60,False
2019-08-11,32,False
2019-08-18,33,False
2019-08-25,60,False
2019-09-01,54,False
2019-09-08,0,False
2019-09-15,27,False
2019-09-22,27,False
2019-09-29,28,False
2019-10-06,56,False
2019-10-13,0,False
2019-10-20,41,False
2019-10-27,40,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,39,False
2019-11-24,25,False
2019-12-01,100,False
2019-12-08,50,False
2019-12-15,51,False
2019-12-22,28,False
2019-12-29,54,False
2020-01-05,0,False
2020-01-12,100,False
2020-01-19,25,False
2020-01-26,24,False
2020-02-02,49,False
2020-02-09,24,False
2020-02-16,24,False
2020-02-23,24,False
2020-03-01,48,False
2020-03-08,0,False
2020-03-15,23,False
2020-03-22,22,False
2020-03-29,0,False
2020-04-05,22,False
2020-04-12,53,True
