date,composition florale,isPartial
2018-01-07,18,False
2018-01-14,64,False
2018-01-21,64,False
2018-01-28,18,False
2018-02-04,18,False
2018-02-11,47,False
2018-02-18,40,False
2018-02-25,29,False
2018-03-04,56,False
2018-03-11,28,False
2018-03-18,38,False
2018-03-25,76,False
2018-04-01,39,False
2018-04-08,47,False
2018-04-15,30,False
2018-04-22,20,False
2018-04-29,58,False
2018-05-06,41,False
2018-05-13,37,False
2018-05-20,38,False
2018-05-27,36,False
2018-06-03,27,False
2018-06-10,36,False
2018-06-17,36,False
2018-06-24,37,False
2018-07-01,36,False
2018-07-08,29,False
2018-07-15,52,False
2018-07-22,0,False
2018-07-29,22,False
2018-08-05,35,False
2018-08-12,49,False
2018-08-19,22,False
2018-08-26,40,False
2018-09-02,0,False
2018-09-09,37,False
2018-09-16,37,False
2018-09-23,19,False
2018-09-30,19,False
2018-10-07,72,False
2018-10-14,89,False
2018-10-21,45,False
2018-10-28,20,False
2018-11-04,55,False
2018-11-11,52,False
2018-11-18,18,False
2018-11-25,18,False
2018-12-02,64,False
2018-12-09,28,False
2018-12-16,47,False
2018-12-23,35,False
2018-12-30,43,False
2019-01-06,37,False
2019-01-13,37,False
2019-01-20,54,False
2019-01-27,45,False
2019-02-03,17,False
2019-02-10,36,False
2019-02-17,37,False
2019-02-24,19,False
2019-03-03,18,False
2019-03-10,18,False
2019-03-17,76,False
2019-03-24,29,False
2019-03-31,38,False
2019-04-07,39,False
2019-04-14,69,False
2019-04-21,32,False
2019-04-28,31,False
2019-05-05,41,False
2019-05-12,59,False
2019-05-19,58,False
2019-05-26,50,False
2019-06-02,36,False
2019-06-09,39,False
2019-06-16,29,False
2019-06-23,68,False
2019-06-30,29,False
2019-07-07,40,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,47,False
2019-08-04,74,False
2019-08-11,0,False
2019-08-18,25,False
2019-08-25,22,False
2019-09-01,39,False
2019-09-08,76,False
2019-09-15,37,False
2019-09-22,27,False
2019-09-29,18,False
2019-10-06,28,False
2019-10-13,19,False
2019-10-20,29,False
2019-10-27,19,False
2019-11-03,27,False
2019-11-10,38,False
2019-11-17,28,False
2019-11-24,45,False
2019-12-01,35,False
2019-12-08,36,False
2019-12-15,37,False
2019-12-22,34,False
2019-12-29,41,False
2020-01-05,36,False
2020-01-12,18,False
2020-01-19,37,False
2020-01-26,36,False
2020-02-02,37,False
2020-02-09,100,False
2020-02-16,47,False
2020-02-23,44,False
2020-03-01,51,False
2020-03-08,26,False
2020-03-15,36,False
2020-03-22,37,False
2020-03-29,46,False
2020-04-05,36,False
2020-04-12,66,True
