date,bouquet,isPartial
2018-01-07,25,False
2018-01-14,49,False
2018-01-21,24,False
2018-01-28,37,False
2018-02-04,49,False
2018-02-11,61,False
2018-02-18,24,False
2018-02-25,24,False
2018-03-04,46,False
2018-03-11,59,False
2018-03-18,35,False
2018-03-25,0,False
2018-04-01,39,False
2018-04-08,24,False
2018-04-15,25,False
2018-04-22,75,False
2018-04-29,34,False
2018-05-06,0,False
2018-05-13,47,False
2018-05-20,35,False
2018-05-27,47,False
2018-06-03,45,False
2018-06-10,21,False
2018-06-17,44,False
2018-06-24,31,False
2018-07-01,29,False
2018-07-08,39,False
2018-07-15,19,False
2018-07-22,38,False
2018-07-29,19,False
2018-08-05,18,False
2018-08-12,46,False
2018-08-19,18,False
2018-08-26,50,False
2018-09-02,28,False
2018-09-09,37,False
2018-09-16,37,False
2018-09-23,51,False
2018-09-30,22,False
2018-10-07,35,False
2018-10-14,35,False
2018-10-21,24,False
2018-10-28,24,False
2018-11-04,47,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,37,False
2018-12-09,25,False
2018-12-16,26,False
2018-12-23,29,False
2018-12-30,55,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,34,False
2019-01-27,23,False
2019-02-03,24,False
2019-02-10,37,False
2019-02-17,50,False
2019-02-24,23,False
2019-03-03,52,False
2019-03-10,49,False
2019-03-17,37,False
2019-03-24,100,False
2019-03-31,37,False
2019-04-07,0,False
2019-04-14,24,False
2019-04-21,50,False
2019-04-28,36,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,58,False
2019-05-26,55,False
2019-06-02,35,False
2019-06-09,45,False
2019-06-16,44,False
2019-06-23,33,False
2019-06-30,33,False
2019-07-07,41,False
2019-07-14,71,False
2019-07-21,0,False
2019-07-28,40,False
2019-08-04,29,False
2019-08-11,0,False
2019-08-18,17,False
2019-08-25,26,False
2019-09-01,27,False
2019-09-08,97,False
2019-09-15,20,False
2019-09-22,0,False
2019-09-29,21,False
2019-10-06,54,False
2019-10-13,22,False
2019-10-20,21,False
2019-10-27,44,False
2019-11-03,42,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,20,False
2019-12-01,42,False
2019-12-08,22,False
2019-12-15,32,False
2019-12-22,24,False
2019-12-29,45,False
2020-01-05,0,False
2020-01-12,29,False
2020-01-19,19,False
2020-01-26,39,False
2020-02-02,0,False
2020-02-09,39,False
2020-02-16,39,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,17,False
2020-03-15,0,False
2020-03-22,32,False
2020-03-29,17,False
2020-04-05,36,False
2020-04-12,18,False
2020-04-19,33,False
2020-04-26,0,True
