date,antica sartoria,isPartial
2018-01-07,16,False
2018-01-14,0,False
2018-01-21,16,False
2018-01-28,16,False
2018-02-04,0,False
2018-02-11,16,False
2018-02-18,15,False
2018-02-25,15,False
2018-03-04,15,False
2018-03-11,15,False
2018-03-18,0,False
2018-03-25,16,False
2018-04-01,33,False
2018-04-08,38,False
2018-04-15,16,False
2018-04-22,32,False
2018-04-29,24,False
2018-05-06,46,False
2018-05-13,15,False
2018-05-20,15,False
2018-05-27,54,False
2018-06-03,16,False
2018-06-10,30,False
2018-06-17,32,False
2018-06-24,80,False
2018-07-01,70,False
2018-07-08,39,False
2018-07-15,32,False
2018-07-22,49,False
2018-07-29,34,False
2018-08-05,28,False
2018-08-12,73,False
2018-08-19,81,False
2018-08-26,50,False
2018-09-02,52,False
2018-09-09,59,False
2018-09-16,29,False
2018-09-23,15,False
2018-09-30,15,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,15,False
2018-10-28,30,False
2018-11-04,14,False
2018-11-11,0,False
2018-11-18,14,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,15,False
2018-12-23,36,False
2018-12-30,0,False
2019-01-06,30,False
2019-01-13,14,False
2019-01-20,0,False
2019-01-27,21,False
2019-02-03,14,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,22,False
2019-03-03,15,False
2019-03-10,15,False
2019-03-17,30,False
2019-03-24,15,False
2019-03-31,23,False
2019-04-07,15,False
2019-04-14,16,False
2019-04-21,17,False
2019-04-28,16,False
2019-05-05,15,False
2019-05-12,44,False
2019-05-19,22,False
2019-05-26,50,False
2019-06-02,31,False
2019-06-09,45,False
2019-06-16,75,False
2019-06-23,39,False
2019-06-30,62,False
2019-07-07,62,False
2019-07-14,95,False
2019-07-21,48,False
2019-07-28,33,False
2019-08-04,100,False
2019-08-11,72,False
2019-08-18,47,False
2019-08-25,42,False
2019-09-01,43,False
2019-09-08,14,False
2019-09-15,43,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,21,False
2019-11-03,0,False
2019-11-10,27,False
2019-11-17,0,False
2019-11-24,13,False
2019-12-01,14,False
2019-12-08,14,False
2019-12-15,0,False
2019-12-22,17,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,13,False
2020-01-19,0,False
2020-01-26,26,False
2020-02-02,19,False
2020-02-09,13,False
2020-02-16,13,False
2020-02-23,18,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,31,False
2020-04-12,38,False
2020-04-19,30,False
2020-04-26,31,True
