date,antica sartoria,isPartial
2018-01-07,12,False
2018-01-14,12,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,13,False
2018-02-18,12,False
2018-02-25,13,False
2018-03-04,13,False
2018-03-11,0,False
2018-03-18,26,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,26,False
2018-04-15,20,False
2018-04-22,49,False
2018-04-29,13,False
2018-05-06,41,False
2018-05-13,46,False
2018-05-20,13,False
2018-05-27,41,False
2018-06-03,27,False
2018-06-10,31,False
2018-06-17,39,False
2018-06-24,52,False
2018-07-01,27,False
2018-07-08,53,False
2018-07-15,61,False
2018-07-22,64,False
2018-07-29,51,False
2018-08-05,67,False
2018-08-12,69,False
2018-08-19,47,False
2018-08-26,100,False
2018-09-02,31,False
2018-09-09,26,False
2018-09-16,18,False
2018-09-23,31,False
2018-09-30,19,False
2018-10-07,0,False
2018-10-14,26,False
2018-10-21,0,False
2018-10-28,13,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,13,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,13,False
2019-01-20,12,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,12,False
2019-02-17,12,False
2019-02-24,12,False
2019-03-03,26,False
2019-03-10,0,False
2019-03-17,13,False
2019-03-24,19,False
2019-03-31,19,False
2019-04-07,13,False
2019-04-14,13,False
2019-04-21,41,False
2019-04-28,0,False
2019-05-05,19,False
2019-05-12,18,False
2019-05-19,25,False
2019-05-26,29,False
2019-06-02,25,False
2019-06-09,26,False
2019-06-16,47,False
2019-06-23,45,False
2019-06-30,27,False
2019-07-07,46,False
2019-07-14,25,False
2019-07-21,26,False
2019-07-28,77,False
2019-08-04,38,False
2019-08-11,58,False
2019-08-18,36,False
2019-08-25,35,False
2019-09-01,28,False
2019-09-08,18,False
2019-09-15,18,False
2019-09-22,12,False
2019-09-29,25,False
2019-10-06,12,False
2019-10-13,19,False
2019-10-20,12,False
2019-10-27,12,False
2019-11-03,12,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,13,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,11,False
2020-02-09,12,False
2020-02-16,12,False
2020-02-23,0,False
2020-03-01,17,False
2020-03-08,10,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,31,False
2020-04-19,10,False
2020-04-26,0,True
