date,cake designer,isPartial
2018-01-07,56,False
2018-01-14,28,False
2018-01-21,27,False
2018-01-28,27,False
2018-02-04,27,False
2018-02-11,55,False
2018-02-18,93,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,41,False
2018-03-25,43,False
2018-04-01,59,False
2018-04-08,68,False
2018-04-15,28,False
2018-04-22,0,False
2018-04-29,55,False
2018-05-06,82,False
2018-05-13,27,False
2018-05-20,55,False
2018-05-27,28,False
2018-06-03,56,False
2018-06-10,26,False
2018-06-17,27,False
2018-06-24,83,False
2018-07-01,27,False
2018-07-08,41,False
2018-07-15,0,False
2018-07-22,28,False
2018-07-29,0,False
2018-08-05,44,False
2018-08-12,31,False
2018-08-19,30,False
2018-08-26,28,False
2018-09-02,80,False
2018-09-09,27,False
2018-09-16,26,False
2018-09-23,54,False
2018-09-30,27,False
2018-10-07,55,False
2018-10-14,42,False
2018-10-21,27,False
2018-10-28,53,False
2018-11-04,26,False
2018-11-11,41,False
2018-11-18,53,False
2018-11-25,68,False
2018-12-02,41,False
2018-12-09,27,False
2018-12-16,43,False
2018-12-23,32,False
2018-12-30,30,False
2019-01-06,41,False
2019-01-13,0,False
2019-01-20,65,False
2019-01-27,76,False
2019-02-03,52,False
2019-02-10,78,False
2019-02-17,67,False
2019-02-24,39,False
2019-03-03,28,False
2019-03-10,27,False
2019-03-17,55,False
2019-03-24,55,False
2019-03-31,82,False
2019-04-07,40,False
2019-04-14,28,False
2019-04-21,29,False
2019-04-28,54,False
2019-05-05,26,False
2019-05-12,52,False
2019-05-19,26,False
2019-05-26,75,False
2019-06-02,27,False
2019-06-09,41,False
2019-06-16,27,False
2019-06-23,55,False
2019-06-30,28,False
2019-07-07,53,False
2019-07-14,0,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,29,False
2019-08-11,0,False
2019-08-18,43,False
2019-08-25,0,False
2019-09-01,62,False
2019-09-08,0,False
2019-09-15,50,False
2019-09-22,25,False
2019-09-29,38,False
2019-10-06,26,False
2019-10-13,51,False
2019-10-20,74,False
2019-10-27,100,False
2019-11-03,36,False
2019-11-10,98,False
2019-11-17,73,False
2019-11-24,49,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,26,False
2019-12-22,29,False
2019-12-29,28,False
2020-01-05,88,False
2020-01-12,35,False
2020-01-19,59,False
2020-01-26,23,False
2020-02-02,46,False
2020-02-09,48,False
2020-02-16,36,False
2020-02-23,67,False
2020-03-01,66,False
2020-03-08,22,False
2020-03-15,32,False
2020-03-22,20,False
2020-03-29,21,False
2020-04-05,43,False
2020-04-12,33,False
2020-04-19,41,False
2020-04-26,36,True
