date,Wohnungsentrümpelung,isPartial
2018-01-07,31,False
2018-01-14,30,False
2018-01-21,0,False
2018-01-28,31,False
2018-02-04,31,False
2018-02-11,47,False
2018-02-18,52,False
2018-02-25,62,False
2018-03-04,31,False
2018-03-11,62,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,0,False
2018-04-08,96,False
2018-04-15,44,False
2018-04-22,47,False
2018-04-29,49,False
2018-05-06,0,False
2018-05-13,62,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,31,False
2018-06-10,61,False
2018-06-17,61,False
2018-06-24,42,False
2018-07-01,31,False
2018-07-08,47,False
2018-07-15,0,False
2018-07-22,33,False
2018-07-29,65,False
2018-08-05,32,False
2018-08-12,65,False
2018-08-19,32,False
2018-08-26,64,False
2018-09-02,64,False
2018-09-09,42,False
2018-09-16,47,False
2018-09-23,0,False
2018-09-30,47,False
2018-10-07,47,False
2018-10-14,31,False
2018-10-21,31,False
2018-10-28,61,False
2018-11-04,80,False
2018-11-11,46,False
2018-11-18,30,False
2018-11-25,31,False
2018-12-02,30,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,36,False
2018-12-30,65,False
2019-01-06,29,False
2019-01-13,38,False
2019-01-20,57,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,44,False
2019-02-17,59,False
2019-02-24,71,False
2019-03-03,29,False
2019-03-10,0,False
2019-03-17,60,False
2019-03-24,89,False
2019-03-31,91,False
2019-04-07,59,False
2019-04-14,65,False
2019-04-21,63,False
2019-04-28,59,False
2019-05-05,29,False
2019-05-12,45,False
2019-05-19,39,False
2019-05-26,71,False
2019-06-02,39,False
2019-06-09,61,False
2019-06-16,31,False
2019-06-23,60,False
2019-06-30,45,False
2019-07-07,59,False
2019-07-14,77,False
2019-07-21,0,False
2019-07-28,63,False
2019-08-04,0,False
2019-08-11,45,False
2019-08-18,82,False
2019-08-25,30,False
2019-09-01,59,False
2019-09-08,75,False
2019-09-15,30,False
2019-09-22,29,False
2019-09-29,29,False
2019-10-06,86,False
2019-10-13,100,False
2019-10-20,28,False
2019-10-27,0,False
2019-11-03,54,False
2019-11-10,55,False
2019-11-17,46,False
2019-11-24,27,False
2019-12-01,46,False
2019-12-08,42,False
2019-12-15,0,False
2019-12-22,32,False
2019-12-29,90,False
2020-01-05,27,False
2020-01-12,51,False
2020-01-19,44,False
2020-01-26,61,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,40,False
2020-02-23,51,False
2020-03-01,68,False
2020-03-08,60,False
2020-03-15,24,False
2020-03-22,39,False
2020-03-29,31,False
2020-04-05,0,False
2020-04-12,37,False
2020-04-19,60,False
2020-04-26,47,False
2020-05-03,24,False
2020-05-10,48,False
