date,piante carnivore,isPartial
2018-01-07,31,False
2018-01-14,0,False
2018-01-21,31,False
2018-01-28,30,False
2018-02-04,46,False
2018-02-11,0,False
2018-02-18,32,False
2018-02-25,0,False
2018-03-04,96,False
2018-03-11,64,False
2018-03-18,0,False
2018-03-25,34,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,35,False
2018-04-29,34,False
2018-05-06,0,False
2018-05-13,49,False
2018-05-20,33,False
2018-05-27,33,False
2018-06-03,99,False
2018-06-10,32,False
2018-06-17,66,False
2018-06-24,33,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,34,False
2018-07-29,33,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,34,False
2018-08-26,63,False
2018-09-02,63,False
2018-09-09,0,False
2018-09-16,32,False
2018-09-23,0,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,32,False
2018-11-11,34,False
2018-11-18,33,False
2018-11-25,100,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,36,False
2018-12-23,0,False
2018-12-30,53,False
2019-01-06,65,False
2019-01-13,32,False
2019-01-20,31,False
2019-01-27,0,False
2019-02-03,30,False
2019-02-10,31,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,0,False
2019-03-24,33,False
2019-03-31,94,False
2019-04-07,31,False
2019-04-14,33,False
2019-04-21,49,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,44,False
2019-05-19,30,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,47,False
2019-06-16,31,False
2019-06-23,64,False
2019-06-30,47,False
2019-07-07,0,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,35,False
2019-08-11,0,False
2019-08-18,67,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,63,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,30,False
2019-10-06,45,False
2019-10-13,0,False
2019-10-20,60,False
2019-10-27,0,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,29,False
2019-12-01,30,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,27,False
2020-01-19,42,False
2020-01-26,0,False
2020-02-02,27,False
2020-02-09,28,False
2020-02-16,28,False
2020-02-23,0,False
2020-03-01,51,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,0,False
2020-04-05,51,False
2020-04-12,26,False
2020-04-19,25,False
2020-04-26,63,True
