date,Wasseraufbereitung,isPartial
2018-01-07,30,False
2018-01-14,30,False
2018-01-21,36,False
2018-01-28,63,False
2018-02-04,31,False
2018-02-11,32,False
2018-02-18,56,False
2018-02-25,46,False
2018-03-04,47,False
2018-03-11,100,False
2018-03-18,44,False
2018-03-25,81,False
2018-04-01,61,False
2018-04-08,39,False
2018-04-15,68,False
2018-04-22,70,False
2018-04-29,45,False
2018-05-06,39,False
2018-05-13,73,False
2018-05-20,30,False
2018-05-27,40,False
2018-06-03,19,False
2018-06-10,78,False
2018-06-17,42,False
2018-06-24,36,False
2018-07-01,18,False
2018-07-08,18,False
2018-07-15,36,False
2018-07-22,54,False
2018-07-29,37,False
2018-08-05,71,False
2018-08-12,47,False
2018-08-19,54,False
2018-08-26,69,False
2018-09-02,33,False
2018-09-09,19,False
2018-09-16,38,False
2018-09-23,32,False
2018-09-30,19,False
2018-10-07,61,False
2018-10-14,43,False
2018-10-21,37,False
2018-10-28,75,False
2018-11-04,47,False
2018-11-11,79,False
2018-11-18,59,False
2018-11-25,36,False
2018-12-02,26,False
2018-12-09,54,False
2018-12-16,37,False
2018-12-23,43,False
2018-12-30,19,False
2019-01-06,34,False
2019-01-13,67,False
2019-01-20,62,False
2019-01-27,57,False
2019-02-03,79,False
2019-02-10,40,False
2019-02-17,75,False
2019-02-24,77,False
2019-03-03,24,False
2019-03-10,69,False
2019-03-17,61,False
2019-03-24,73,False
2019-03-31,46,False
2019-04-07,30,False
2019-04-14,68,False
2019-04-21,57,False
2019-04-28,41,False
2019-05-05,57,False
2019-05-12,52,False
2019-05-19,52,False
2019-05-26,100,False
2019-06-02,60,False
2019-06-09,31,False
2019-06-16,56,False
2019-06-23,48,False
2019-06-30,26,False
2019-07-07,28,False
2019-07-14,53,False
2019-07-21,31,False
2019-07-28,54,False
2019-08-04,19,False
2019-08-11,57,False
2019-08-18,38,False
2019-08-25,38,False
2019-09-01,45,False
2019-09-08,44,False
2019-09-15,35,False
2019-09-22,51,False
2019-09-29,35,False
2019-10-06,17,False
2019-10-13,34,False
2019-10-20,39,False
2019-10-27,17,False
2019-11-03,60,False
2019-11-10,33,False
2019-11-17,38,False
2019-11-24,60,False
2019-12-01,62,False
2019-12-08,50,False
2019-12-15,34,False
2019-12-22,39,False
2019-12-29,36,False
2020-01-05,64,False
2020-01-12,62,False
2020-01-19,64,False
2020-01-26,39,False
2020-02-02,57,False
2020-02-09,35,False
2020-02-16,70,False
2020-02-23,21,False
2020-03-01,36,False
2020-03-08,48,False
2020-03-15,28,False
2020-03-22,33,False
2020-03-29,43,False
2020-04-05,31,False
2020-04-12,35,False
2020-04-19,19,False
2020-04-26,38,False
2020-05-03,49,False
2020-05-10,37,False
