date,Waschmaschine reinigen,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,38,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,38,False
2018-02-18,40,False
2018-02-25,0,False
2018-03-04,39,False
2018-03-11,0,False
2018-03-18,39,False
2018-03-25,0,False
2018-04-01,41,False
2018-04-08,40,False
2018-04-15,84,False
2018-04-22,39,False
2018-04-29,39,False
2018-05-06,41,False
2018-05-13,0,False
2018-05-20,67,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,49,False
2018-06-17,0,False
2018-06-24,38,False
2018-07-01,38,False
2018-07-08,75,False
2018-07-15,60,False
2018-07-22,0,False
2018-07-29,38,False
2018-08-05,73,False
2018-08-12,37,False
2018-08-19,37,False
2018-08-26,37,False
2018-09-02,38,False
2018-09-09,38,False
2018-09-16,38,False
2018-09-23,0,False
2018-09-30,59,False
2018-10-07,41,False
2018-10-14,79,False
2018-10-21,37,False
2018-10-28,0,False
2018-11-04,37,False
2018-11-11,38,False
2018-11-18,0,False
2018-11-25,38,False
2018-12-02,37,False
2018-12-09,0,False
2018-12-16,38,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,54,False
2019-01-13,36,False
2019-01-20,71,False
2019-01-27,36,False
2019-02-03,35,False
2019-02-10,36,False
2019-02-17,55,False
2019-02-24,37,False
2019-03-03,53,False
2019-03-10,35,False
2019-03-17,36,False
2019-03-24,37,False
2019-03-31,38,False
2019-04-07,58,False
2019-04-14,39,False
2019-04-21,56,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,37,False
2019-05-19,36,False
2019-05-26,35,False
2019-06-02,35,False
2019-06-09,69,False
2019-06-16,52,False
2019-06-23,36,False
2019-06-30,70,False
2019-07-07,35,False
2019-07-14,35,False
2019-07-21,37,False
2019-07-28,34,False
2019-08-04,51,False
2019-08-11,49,False
2019-08-18,34,False
2019-08-25,34,False
2019-09-01,49,False
2019-09-08,34,False
2019-09-15,34,False
2019-09-22,0,False
2019-09-29,67,False
2019-10-06,57,False
2019-10-13,66,False
2019-10-20,65,False
2019-10-27,49,False
2019-11-03,64,False
2019-11-10,32,False
2019-11-17,65,False
2019-11-24,64,False
2019-12-01,100,False
2019-12-08,33,False
2019-12-15,67,False
2019-12-22,36,False
2019-12-29,98,False
2020-01-05,93,False
2020-01-12,46,False
2020-01-19,42,False
2020-01-26,0,False
2020-02-02,31,False
2020-02-09,62,False
2020-02-16,62,False
2020-02-23,30,False
2020-03-01,46,False
2020-03-08,57,False
2020-03-15,82,False
2020-03-22,27,False
2020-03-29,45,False
2020-04-05,60,False
2020-04-12,0,False
2020-04-19,28,False
2020-04-26,27,False
2020-05-03,0,False
2020-05-10,46,False
