date,Waschmaschine reinigen,isPartial
2018-01-07,46,False
2018-01-14,31,False
2018-01-21,31,False
2018-01-28,60,False
2018-02-04,31,False
2018-02-11,31,False
2018-02-18,32,False
2018-02-25,30,False
2018-03-04,31,False
2018-03-11,45,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,33,False
2018-04-08,0,False
2018-04-15,75,False
2018-04-22,31,False
2018-04-29,32,False
2018-05-06,0,False
2018-05-13,45,False
2018-05-20,0,False
2018-05-27,45,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,30,False
2018-06-24,41,False
2018-07-01,63,False
2018-07-08,32,False
2018-07-15,33,False
2018-07-22,32,False
2018-07-29,0,False
2018-08-05,50,False
2018-08-12,30,False
2018-08-19,60,False
2018-08-26,91,False
2018-09-02,30,False
2018-09-09,61,False
2018-09-16,62,False
2018-09-23,31,False
2018-09-30,0,False
2018-10-07,32,False
2018-10-14,31,False
2018-10-21,39,False
2018-10-28,43,False
2018-11-04,43,False
2018-11-11,29,False
2018-11-18,43,False
2018-11-25,30,False
2018-12-02,29,False
2018-12-09,58,False
2018-12-16,45,False
2018-12-23,67,False
2018-12-30,62,False
2019-01-06,28,False
2019-01-13,42,False
2019-01-20,28,False
2019-01-27,56,False
2019-02-03,57,False
2019-02-10,29,False
2019-02-17,31,False
2019-02-24,30,False
2019-03-03,38,False
2019-03-10,28,False
2019-03-17,60,False
2019-03-24,29,False
2019-03-31,30,False
2019-04-07,59,False
2019-04-14,31,False
2019-04-21,31,False
2019-04-28,84,False
2019-05-05,0,False
2019-05-12,29,False
2019-05-19,28,False
2019-05-26,59,False
2019-06-02,57,False
2019-06-09,29,False
2019-06-16,43,False
2019-06-23,30,False
2019-06-30,0,False
2019-07-07,59,False
2019-07-14,46,False
2019-07-21,33,False
2019-07-28,30,False
2019-08-04,31,False
2019-08-11,30,False
2019-08-18,88,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,29,False
2019-09-15,59,False
2019-09-22,43,False
2019-09-29,83,False
2019-10-06,65,False
2019-10-13,72,False
2019-10-20,29,False
2019-10-27,54,False
2019-11-03,39,False
2019-11-10,67,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,27,False
2019-12-08,0,False
2019-12-15,55,False
2019-12-22,30,False
2019-12-29,28,False
2020-01-05,38,False
2020-01-12,37,False
2020-01-19,51,False
2020-01-26,51,False
2020-02-02,33,False
2020-02-09,35,False
2020-02-16,26,False
2020-02-23,25,False
2020-03-01,100,False
2020-03-08,0,False
2020-03-15,53,False
2020-03-22,38,False
2020-03-29,52,False
2020-04-05,75,False
2020-04-12,72,False
2020-04-19,35,False
2020-04-26,23,False
2020-05-03,46,False
2020-05-10,23,False
