date,Rolltore,isPartial
2018-01-07,30,False
2018-01-14,31,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,45,False
2018-02-11,62,False
2018-02-18,31,False
2018-02-25,31,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,0,False
2018-03-25,67,False
2018-04-01,34,False
2018-04-08,32,False
2018-04-15,0,False
2018-04-22,32,False
2018-04-29,100,False
2018-05-06,33,False
2018-05-13,0,False
2018-05-20,49,False
2018-05-27,33,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,33,False
2018-06-24,34,False
2018-07-01,34,False
2018-07-08,50,False
2018-07-15,0,False
2018-07-22,68,False
2018-07-29,33,False
2018-08-05,32,False
2018-08-12,33,False
2018-08-19,32,False
2018-08-26,52,False
2018-09-02,47,False
2018-09-09,62,False
2018-09-16,63,False
2018-09-23,32,False
2018-09-30,67,False
2018-10-07,33,False
2018-10-14,31,False
2018-10-21,31,False
2018-10-28,61,False
2018-11-04,60,False
2018-11-11,31,False
2018-11-18,62,False
2018-11-25,0,False
2018-12-02,32,False
2018-12-09,33,False
2018-12-16,50,False
2018-12-23,38,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,91,False
2019-01-27,30,False
2019-02-03,30,False
2019-02-10,31,False
2019-02-17,62,False
2019-02-24,31,False
2019-03-03,61,False
2019-03-10,30,False
2019-03-17,32,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,31,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,31,False
2019-05-05,90,False
2019-05-12,0,False
2019-05-19,30,False
2019-05-26,48,False
2019-06-02,31,False
2019-06-09,0,False
2019-06-16,32,False
2019-06-23,32,False
2019-06-30,64,False
2019-07-07,32,False
2019-07-14,33,False
2019-07-21,34,False
2019-07-28,68,False
2019-08-04,32,False
2019-08-11,30,False
2019-08-18,30,False
2019-08-25,61,False
2019-09-01,30,False
2019-09-08,41,False
2019-09-15,94,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,31,False
2019-10-13,29,False
2019-10-20,0,False
2019-10-27,43,False
2019-11-03,43,False
2019-11-10,28,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,59,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,0,False
2020-01-12,27,False
2020-01-19,0,False
2020-01-26,54,False
2020-02-02,55,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,27,False
2020-03-01,27,False
2020-03-08,0,False
2020-03-15,26,False
2020-03-22,26,False
2020-03-29,26,False
2020-04-05,28,False
2020-04-12,40,False
2020-04-19,26,False
2020-04-26,26,False
2020-05-03,90,False
2020-05-10,0,False
