date,deejay,isPartial
2018-01-07,60,False
2018-01-14,53,False
2018-01-21,26,False
2018-01-28,79,False
2018-02-04,39,False
2018-02-11,26,False
2018-02-18,44,False
2018-02-25,49,False
2018-03-04,19,False
2018-03-11,78,False
2018-03-18,54,False
2018-03-25,59,False
2018-04-01,36,False
2018-04-08,58,False
2018-04-15,23,False
2018-04-22,16,False
2018-04-29,36,False
2018-05-06,28,False
2018-05-13,63,False
2018-05-20,21,False
2018-05-27,47,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,43,False
2018-06-24,41,False
2018-07-01,26,False
2018-07-08,19,False
2018-07-15,37,False
2018-07-22,25,False
2018-07-29,36,False
2018-08-05,11,False
2018-08-12,11,False
2018-08-19,27,False
2018-08-26,12,False
2018-09-02,13,False
2018-09-09,75,False
2018-09-16,27,False
2018-09-23,41,False
2018-09-30,27,False
2018-10-07,35,False
2018-10-14,22,False
2018-10-21,28,False
2018-10-28,42,False
2018-11-04,44,False
2018-11-11,15,False
2018-11-18,44,False
2018-11-25,59,False
2018-12-02,50,False
2018-12-09,41,False
2018-12-16,57,False
2018-12-23,14,False
2018-12-30,33,False
2019-01-06,18,False
2019-01-13,44,False
2019-01-20,43,False
2019-01-27,36,False
2019-02-03,24,False
2019-02-10,37,False
2019-02-17,81,False
2019-02-24,38,False
2019-03-03,44,False
2019-03-10,58,False
2019-03-17,34,False
2019-03-24,35,False
2019-03-31,34,False
2019-04-07,48,False
2019-04-14,55,False
2019-04-21,14,False
2019-04-28,28,False
2019-05-05,40,False
2019-05-12,47,False
2019-05-19,40,False
2019-05-26,25,False
2019-06-02,27,False
2019-06-09,13,False
2019-06-16,50,False
2019-06-23,47,False
2019-06-30,100,False
2019-07-07,48,False
2019-07-14,40,False
2019-07-21,60,False
2019-07-28,16,False
2019-08-04,30,False
2019-08-11,28,False
2019-08-18,27,False
2019-08-25,20,False
2019-09-01,47,False
2019-09-08,65,False
2019-09-15,60,False
2019-09-22,24,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,18,False
2019-10-20,38,False
2019-10-27,61,False
2019-11-03,73,False
2019-11-10,44,False
2019-11-17,37,False
2019-11-24,31,False
2019-12-01,45,False
2019-12-08,19,False
2019-12-15,36,False
2019-12-22,18,False
2019-12-29,49,False
2020-01-05,35,False
2020-01-12,47,False
2020-01-19,44,False
2020-01-26,21,False
2020-02-02,84,False
2020-02-09,69,False
2020-02-16,21,False
2020-02-23,39,False
2020-03-01,25,False
2020-03-08,67,False
2020-03-15,42,False
2020-03-22,84,False
2020-03-29,51,False
2020-04-05,44,False
2020-04-12,33,False
2020-04-19,58,False
2020-04-26,45,True
