date,ristorante matrimonio,isPartial
2018-01-07,19,False
2018-01-14,19,False
2018-01-21,0,False
2018-01-28,28,False
2018-02-04,19,False
2018-02-11,58,False
2018-02-18,20,False
2018-02-25,19,False
2018-03-04,0,False
2018-03-11,39,False
2018-03-18,20,False
2018-03-25,41,False
2018-04-01,43,False
2018-04-08,0,False
2018-04-15,21,False
2018-04-22,22,False
2018-04-29,32,False
2018-05-06,21,False
2018-05-13,41,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,62,False
2018-06-10,100,False
2018-06-17,20,False
2018-06-24,20,False
2018-07-01,40,False
2018-07-08,20,False
2018-07-15,41,False
2018-07-22,41,False
2018-07-29,41,False
2018-08-05,32,False
2018-08-12,69,False
2018-08-19,73,False
2018-08-26,59,False
2018-09-02,29,False
2018-09-09,20,False
2018-09-16,20,False
2018-09-23,31,False
2018-09-30,20,False
2018-10-07,21,False
2018-10-14,42,False
2018-10-21,62,False
2018-10-28,39,False
2018-11-04,20,False
2018-11-11,21,False
2018-11-18,0,False
2018-11-25,31,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,37,False
2018-12-30,44,False
2019-01-06,20,False
2019-01-13,78,False
2019-01-20,38,False
2019-01-27,19,False
2019-02-03,38,False
2019-02-10,28,False
2019-02-17,19,False
2019-02-24,57,False
2019-03-03,0,False
2019-03-10,19,False
2019-03-17,59,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,0,False
2019-04-14,40,False
2019-04-21,41,False
2019-04-28,57,False
2019-05-05,37,False
2019-05-12,37,False
2019-05-19,18,False
2019-05-26,45,False
2019-06-02,19,False
2019-06-09,59,False
2019-06-16,39,False
2019-06-23,20,False
2019-06-30,19,False
2019-07-07,50,False
2019-07-14,0,False
2019-07-21,20,False
2019-07-28,30,False
2019-08-04,53,False
2019-08-11,23,False
2019-08-18,21,False
2019-08-25,38,False
2019-09-01,27,False
2019-09-08,58,False
2019-09-15,19,False
2019-09-22,38,False
2019-09-29,37,False
2019-10-06,46,False
2019-10-13,19,False
2019-10-20,18,False
2019-10-27,0,False
2019-11-03,35,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,18,False
2019-12-01,0,False
2019-12-08,56,False
2019-12-15,19,False
2019-12-22,21,False
2019-12-29,0,False
2020-01-05,18,False
2020-01-12,42,False
2020-01-19,35,False
2020-01-26,51,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,0,False
2020-03-01,24,False
2020-03-08,31,False
2020-03-15,0,False
2020-03-22,14,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,16,False
2020-04-19,0,False
2020-04-26,52,True
