date,ristorante matrimonio,isPartial
2018-01-07,0,False
2018-01-14,56,False
2018-01-21,71,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,19,False
2018-02-18,19,False
2018-02-25,36,False
2018-03-04,19,False
2018-03-11,19,False
2018-03-18,19,False
2018-03-25,100,False
2018-04-01,0,False
2018-04-08,75,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,39,False
2018-05-06,0,False
2018-05-13,19,False
2018-05-20,59,False
2018-05-27,19,False
2018-06-03,38,False
2018-06-10,19,False
2018-06-17,83,False
2018-06-24,0,False
2018-07-01,21,False
2018-07-08,21,False
2018-07-15,22,False
2018-07-22,22,False
2018-07-29,0,False
2018-08-05,25,False
2018-08-12,57,False
2018-08-19,79,False
2018-08-26,44,False
2018-09-02,42,False
2018-09-09,21,False
2018-09-16,82,False
2018-09-23,62,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,61,False
2018-10-28,0,False
2018-11-04,19,False
2018-11-11,39,False
2018-11-18,0,False
2018-11-25,19,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,19,False
2019-01-13,56,False
2019-01-20,18,False
2019-01-27,18,False
2019-02-03,0,False
2019-02-10,18,False
2019-02-17,36,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,19,False
2019-03-17,19,False
2019-03-24,19,False
2019-03-31,36,False
2019-04-07,0,False
2019-04-14,19,False
2019-04-21,21,False
2019-04-28,0,False
2019-05-05,19,False
2019-05-12,0,False
2019-05-19,18,False
2019-05-26,71,False
2019-06-02,36,False
2019-06-09,35,False
2019-06-16,0,False
2019-06-23,57,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,60,False
2019-07-28,21,False
2019-08-04,0,False
2019-08-11,24,False
2019-08-18,22,False
2019-08-25,19,False
2019-09-01,35,False
2019-09-08,36,False
2019-09-15,17,False
2019-09-22,18,False
2019-09-29,89,False
2019-10-06,36,False
2019-10-13,18,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,34,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,17,False
2019-12-08,0,False
2019-12-15,17,False
2019-12-22,20,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,15,False
2020-01-19,16,False
2020-01-26,31,False
2020-02-02,31,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,30,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
