date,ristorante matrimonio,isPartial
2018-01-07,35,False
2018-01-14,0,False
2018-01-21,34,False
2018-01-28,33,False
2018-02-04,0,False
2018-02-11,68,False
2018-02-18,65,False
2018-02-25,32,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,69,False
2018-03-25,0,False
2018-04-01,37,False
2018-04-08,34,False
2018-04-15,69,False
2018-04-22,36,False
2018-04-29,34,False
2018-05-06,33,False
2018-05-13,52,False
2018-05-20,35,False
2018-05-27,35,False
2018-06-03,34,False
2018-06-10,67,False
2018-06-17,34,False
2018-06-24,35,False
2018-07-01,0,False
2018-07-08,34,False
2018-07-15,69,False
2018-07-22,52,False
2018-07-29,36,False
2018-08-05,76,False
2018-08-12,41,False
2018-08-19,38,False
2018-08-26,68,False
2018-09-02,100,False
2018-09-09,67,False
2018-09-16,33,False
2018-09-23,0,False
2018-09-30,34,False
2018-10-07,34,False
2018-10-14,35,False
2018-10-21,0,False
2018-10-28,34,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,66,False
2018-12-02,35,False
2018-12-09,0,False
2018-12-16,73,False
2018-12-23,44,False
2018-12-30,0,False
2019-01-06,35,False
2019-01-13,33,False
2019-01-20,33,False
2019-01-27,33,False
2019-02-03,0,False
2019-02-10,33,False
2019-02-17,34,False
2019-02-24,0,False
2019-03-03,35,False
2019-03-10,52,False
2019-03-17,0,False
2019-03-24,34,False
2019-03-31,51,False
2019-04-07,68,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,35,False
2019-05-05,34,False
2019-05-12,64,False
2019-05-19,81,False
2019-05-26,31,False
2019-06-02,34,False
2019-06-09,34,False
2019-06-16,34,False
2019-06-23,35,False
2019-06-30,34,False
2019-07-07,32,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,34,False
2019-08-04,36,False
2019-08-11,0,False
2019-08-18,34,False
2019-08-25,47,False
2019-09-01,0,False
2019-09-08,47,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,0,False
2019-10-06,32,False
2019-10-13,0,False
2019-10-20,31,False
2019-10-27,31,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,0,False
2019-12-01,31,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,38,False
2019-12-29,36,False
2020-01-05,31,False
2020-01-12,0,False
2020-01-19,29,False
2020-01-26,29,False
2020-02-02,0,False
2020-02-09,29,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,27,False
2020-03-08,0,False
2020-03-15,40,False
2020-03-22,24,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
