date,alquiler de autobuses,isPartial
2018-01-07,0,False
2018-01-14,46,False
2018-01-21,23,False
2018-01-28,23,False
2018-02-04,22,False
2018-02-11,23,False
2018-02-18,23,False
2018-02-25,56,False
2018-03-04,22,False
2018-03-11,22,False
2018-03-18,35,False
2018-03-25,90,False
2018-04-01,0,False
2018-04-08,54,False
2018-04-15,34,False
2018-04-22,22,False
2018-04-29,25,False
2018-05-06,67,False
2018-05-13,70,False
2018-05-20,56,False
2018-05-27,22,False
2018-06-03,44,False
2018-06-10,44,False
2018-06-17,24,False
2018-06-24,36,False
2018-07-01,75,False
2018-07-08,63,False
2018-07-15,40,False
2018-07-22,69,False
2018-07-29,43,False
2018-08-05,31,False
2018-08-12,100,False
2018-08-19,62,False
2018-08-26,27,False
2018-09-02,24,False
2018-09-09,47,False
2018-09-16,22,False
2018-09-23,22,False
2018-09-30,66,False
2018-10-07,0,False
2018-10-14,66,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,30,False
2018-11-11,41,False
2018-11-18,21,False
2018-11-25,0,False
2018-12-02,22,False
2018-12-09,22,False
2018-12-16,33,False
2018-12-23,27,False
2018-12-30,24,False
2019-01-06,23,False
2019-01-13,85,False
2019-01-20,60,False
2019-01-27,19,False
2019-02-03,43,False
2019-02-10,53,False
2019-02-17,21,False
2019-02-24,19,False
2019-03-03,22,False
2019-03-10,22,False
2019-03-17,44,False
2019-03-24,22,False
2019-03-31,43,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,22,False
2019-04-28,23,False
2019-05-05,29,False
2019-05-12,32,False
2019-05-19,21,False
2019-05-26,21,False
2019-06-02,30,False
2019-06-09,60,False
2019-06-16,44,False
2019-06-23,23,False
2019-06-30,35,False
2019-07-07,77,False
2019-07-14,25,False
2019-07-21,48,False
2019-07-28,0,False
2019-08-04,30,False
2019-08-11,32,False
2019-08-18,75,False
2019-08-25,39,False
2019-09-01,21,False
2019-09-08,21,False
2019-09-15,30,False
2019-09-22,0,False
2019-09-29,30,False
2019-10-06,0,False
2019-10-13,39,False
2019-10-20,39,False
2019-10-27,21,False
2019-11-03,19,False
2019-11-10,0,False
2019-11-17,19,False
2019-11-24,55,False
2019-12-01,41,False
2019-12-08,41,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,23,False
2020-01-05,0,False
2020-01-12,37,False
2020-01-19,18,False
2020-01-26,28,False
2020-02-02,19,False
2020-02-09,19,False
2020-02-16,38,False
2020-02-23,37,False
2020-03-01,36,False
2020-03-08,36,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,0,False
2020-04-05,19,False
2020-04-12,0,True
