date,alquiler de autobuses,isPartial
2018-01-07,19,False
2018-01-14,31,False
2018-01-21,20,False
2018-01-28,20,False
2018-02-04,40,False
2018-02-11,41,False
2018-02-18,41,False
2018-02-25,28,False
2018-03-04,56,False
2018-03-11,19,False
2018-03-18,41,False
2018-03-25,22,False
2018-04-01,20,False
2018-04-08,0,False
2018-04-15,31,False
2018-04-22,79,False
2018-04-29,51,False
2018-05-06,59,False
2018-05-13,42,False
2018-05-20,60,False
2018-05-27,41,False
2018-06-03,59,False
2018-06-10,29,False
2018-06-17,31,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,91,False
2018-07-15,42,False
2018-07-22,31,False
2018-07-29,20,False
2018-08-05,39,False
2018-08-12,30,False
2018-08-19,61,False
2018-08-26,39,False
2018-09-02,49,False
2018-09-09,19,False
2018-09-16,60,False
2018-09-23,0,False
2018-09-30,60,False
2018-10-07,50,False
2018-10-14,19,False
2018-10-21,58,False
2018-10-28,20,False
2018-11-04,19,False
2018-11-11,0,False
2018-11-18,37,False
2018-11-25,20,False
2018-12-02,22,False
2018-12-09,0,False
2018-12-16,21,False
2018-12-23,70,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,29,False
2019-01-20,0,False
2019-01-27,19,False
2019-02-03,20,False
2019-02-10,29,False
2019-02-17,59,False
2019-02-24,53,False
2019-03-03,20,False
2019-03-10,41,False
2019-03-17,0,False
2019-03-24,100,False
2019-03-31,38,False
2019-04-07,20,False
2019-04-14,19,False
2019-04-21,28,False
2019-04-28,39,False
2019-05-05,71,False
2019-05-12,20,False
2019-05-19,20,False
2019-05-26,19,False
2019-06-02,29,False
2019-06-09,58,False
2019-06-16,40,False
2019-06-23,20,False
2019-06-30,60,False
2019-07-07,39,False
2019-07-14,30,False
2019-07-21,20,False
2019-07-28,51,False
2019-08-04,29,False
2019-08-11,48,False
2019-08-18,57,False
2019-08-25,18,False
2019-09-01,55,False
2019-09-08,18,False
2019-09-15,37,False
2019-09-22,18,False
2019-09-29,19,False
2019-10-06,37,False
2019-10-13,36,False
2019-10-20,18,False
2019-10-27,18,False
2019-11-03,35,False
2019-11-10,26,False
2019-11-17,17,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,38,False
2019-12-15,26,False
2019-12-22,19,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,33,False
2020-01-19,16,False
2020-01-26,0,False
2020-02-02,34,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,26,False
2020-03-01,16,False
2020-03-08,0,False
2020-03-15,30,False
2020-03-22,14,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
