date,Psicoterapia,isPartial
2018-01-07,26,False
2018-01-14,26,False
2018-01-21,26,False
2018-01-28,39,False
2018-02-04,26,False
2018-02-11,78,False
2018-02-18,78,False
2018-02-25,51,False
2018-03-04,51,False
2018-03-11,43,False
2018-03-18,35,False
2018-03-25,40,False
2018-04-01,27,False
2018-04-08,25,False
2018-04-15,26,False
2018-04-22,100,False
2018-04-29,34,False
2018-05-06,38,False
2018-05-13,39,False
2018-05-20,26,False
2018-05-27,37,False
2018-06-03,37,False
2018-06-10,37,False
2018-06-17,27,False
2018-06-24,0,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,26,False
2018-07-22,25,False
2018-07-29,0,False
2018-08-05,24,False
2018-08-12,25,False
2018-08-19,35,False
2018-08-26,0,False
2018-09-02,49,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,25,False
2018-09-30,26,False
2018-10-07,27,False
2018-10-14,48,False
2018-10-21,50,False
2018-10-28,26,False
2018-11-04,0,False
2018-11-11,25,False
2018-11-18,32,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,60,False
2018-12-30,30,False
2019-01-06,26,False
2019-01-13,50,False
2019-01-20,24,False
2019-01-27,25,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,39,False
2019-02-24,25,False
2019-03-03,26,False
2019-03-10,52,False
2019-03-17,27,False
2019-03-24,26,False
2019-03-31,40,False
2019-04-07,25,False
2019-04-14,35,False
2019-04-21,43,False
2019-04-28,74,False
2019-05-05,25,False
2019-05-12,37,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,24,False
2019-06-16,25,False
2019-06-23,25,False
2019-06-30,49,False
2019-07-07,39,False
2019-07-14,72,False
2019-07-21,25,False
2019-07-28,25,False
2019-08-04,25,False
2019-08-11,24,False
2019-08-18,49,False
2019-08-25,24,False
2019-09-01,0,False
2019-09-08,33,False
2019-09-15,35,False
2019-09-22,23,False
2019-09-29,47,False
2019-10-06,47,False
2019-10-13,39,False
2019-10-20,23,False
2019-10-27,31,False
2019-11-03,0,False
2019-11-10,23,False
2019-11-17,23,False
2019-11-24,44,False
2019-12-01,30,False
2019-12-08,47,False
2019-12-15,23,False
2019-12-22,38,False
2019-12-29,50,False
2020-01-05,23,False
2020-01-12,43,False
2020-01-19,42,False
2020-01-26,0,False
2020-02-02,32,False
2020-02-09,22,False
2020-02-16,21,False
2020-02-23,28,False
2020-03-01,21,False
2020-03-08,41,False
2020-03-15,30,False
2020-03-22,18,False
2020-03-29,37,False
2020-04-05,0,False
2020-04-12,19,False
2020-04-19,54,False
2020-04-26,25,False
2020-05-03,24,False
2020-05-10,36,False
2020-05-17,23,True
