date,psicoterapia,isPartial
2018-01-07,75,False
2018-01-14,68,False
2018-01-21,97,False
2018-01-28,96,False
2018-02-04,78,False
2018-02-11,83,False
2018-02-18,88,False
2018-02-25,77,False
2018-03-04,75,False
2018-03-11,85,False
2018-03-18,55,False
2018-03-25,53,False
2018-04-01,89,False
2018-04-08,55,False
2018-04-15,65,False
2018-04-22,68,False
2018-04-29,63,False
2018-05-06,72,False
2018-05-13,93,False
2018-05-20,42,False
2018-05-27,61,False
2018-06-03,62,False
2018-06-10,61,False
2018-06-17,51,False
2018-06-24,64,False
2018-07-01,51,False
2018-07-08,43,False
2018-07-15,55,False
2018-07-22,84,False
2018-07-29,52,False
2018-08-05,47,False
2018-08-12,43,False
2018-08-19,46,False
2018-08-26,64,False
2018-09-02,79,False
2018-09-09,100,False
2018-09-16,92,False
2018-09-23,76,False
2018-09-30,83,False
2018-10-07,75,False
2018-10-14,78,False
2018-10-21,69,False
2018-10-28,70,False
2018-11-04,75,False
2018-11-11,81,False
2018-11-18,99,False
2018-11-25,48,False
2018-12-02,61,False
2018-12-09,77,False
2018-12-16,81,False
2018-12-23,52,False
2018-12-30,58,False
2019-01-06,72,False
2019-01-13,57,False
2019-01-20,70,False
2019-01-27,66,False
2019-02-03,63,False
2019-02-10,79,False
2019-02-17,80,False
2019-02-24,62,False
2019-03-03,71,False
2019-03-10,69,False
2019-03-17,79,False
2019-03-24,61,False
2019-03-31,87,False
2019-04-07,75,False
2019-04-14,47,False
2019-04-21,62,False
2019-04-28,50,False
2019-05-05,77,False
2019-05-12,71,False
2019-05-19,49,False
2019-05-26,58,False
2019-06-02,64,False
2019-06-09,76,False
2019-06-16,74,False
2019-06-23,54,False
2019-06-30,66,False
2019-07-07,83,False
2019-07-14,59,False
2019-07-21,60,False
2019-07-28,46,False
2019-08-04,49,False
2019-08-11,41,False
2019-08-18,65,False
2019-08-25,67,False
2019-09-01,61,False
2019-09-08,79,False
2019-09-15,82,False
2019-09-22,76,False
2019-09-29,62,False
2019-10-06,81,False
2019-10-13,89,False
2019-10-20,87,False
2019-10-27,53,False
2019-11-03,83,False
2019-11-10,56,False
2019-11-17,88,False
2019-11-24,88,False
2019-12-01,69,False
2019-12-08,56,False
2019-12-15,61,False
2019-12-22,54,False
2019-12-29,43,False
2020-01-05,57,False
2020-01-12,73,False
2020-01-19,70,False
2020-01-26,52,False
2020-02-02,90,False
2020-02-09,79,False
2020-02-16,77,False
2020-02-23,65,False
2020-03-01,81,False
2020-03-08,68,False
2020-03-15,46,False
2020-03-22,51,False
2020-03-29,47,False
2020-04-05,60,False
2020-04-12,57,False
2020-04-19,67,False
2020-04-26,85,False
2020-05-03,59,False
2020-05-10,61,False
2020-05-17,75,True
