date,giochi di prestigio,isPartial
2018-01-07,27,False
2018-01-14,20,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,45,False
2018-02-11,26,False
2018-02-18,26,False
2018-02-25,25,False
2018-03-04,13,False
2018-03-11,19,False
2018-03-18,59,False
2018-03-25,27,False
2018-04-01,14,False
2018-04-08,26,False
2018-04-15,13,False
2018-04-22,28,False
2018-04-29,27,False
2018-05-06,13,False
2018-05-13,13,False
2018-05-20,27,False
2018-05-27,13,False
2018-06-03,20,False
2018-06-10,13,False
2018-06-17,13,False
2018-06-24,27,False
2018-07-01,13,False
2018-07-08,20,False
2018-07-15,13,False
2018-07-22,20,False
2018-07-29,14,False
2018-08-05,28,False
2018-08-12,15,False
2018-08-19,22,False
2018-08-26,20,False
2018-09-02,26,False
2018-09-09,0,False
2018-09-16,32,False
2018-09-23,13,False
2018-09-30,26,False
2018-10-07,13,False
2018-10-14,27,False
2018-10-21,65,False
2018-10-28,32,False
2018-11-04,25,False
2018-11-11,66,False
2018-11-18,39,False
2018-11-25,13,False
2018-12-02,53,False
2018-12-09,13,False
2018-12-16,21,False
2018-12-23,55,False
2018-12-30,100,False
2019-01-06,93,False
2019-01-13,51,False
2019-01-20,37,False
2019-01-27,24,False
2019-02-03,37,False
2019-02-10,25,False
2019-02-17,19,False
2019-02-24,25,False
2019-03-03,33,False
2019-03-10,26,False
2019-03-17,26,False
2019-03-24,0,False
2019-03-31,52,False
2019-04-07,19,False
2019-04-14,13,False
2019-04-21,42,False
2019-04-28,13,False
2019-05-05,13,False
2019-05-12,44,False
2019-05-19,0,False
2019-05-26,12,False
2019-06-02,13,False
2019-06-09,20,False
2019-06-16,26,False
2019-06-23,0,False
2019-06-30,27,False
2019-07-07,45,False
2019-07-14,46,False
2019-07-21,27,False
2019-07-28,14,False
2019-08-04,14,False
2019-08-11,15,False
2019-08-18,28,False
2019-08-25,25,False
2019-09-01,12,False
2019-09-08,12,False
2019-09-15,12,False
2019-09-22,0,False
2019-09-29,24,False
2019-10-06,19,False
2019-10-13,12,False
2019-10-20,12,False
2019-10-27,12,False
2019-11-03,17,False
2019-11-10,0,False
2019-11-17,47,False
2019-11-24,12,False
2019-12-01,18,False
2019-12-08,43,False
2019-12-15,25,False
2019-12-22,36,False
2019-12-29,14,False
2020-01-05,18,False
2020-01-12,11,False
2020-01-19,34,False
2020-01-26,34,False
2020-02-02,33,False
2020-02-09,12,False
2020-02-16,17,False
2020-02-23,11,False
2020-03-01,11,False
2020-03-08,10,False
2020-03-15,26,False
2020-03-22,24,False
2020-03-29,20,False
2020-04-05,21,False
2020-04-12,42,False
2020-04-19,10,False
2020-04-26,52,True
