date,Plissee,isPartial
2018-01-07,17,False
2018-01-14,25,False
2018-01-21,0,False
2018-01-28,25,False
2018-02-04,27,False
2018-02-11,34,False
2018-02-18,51,False
2018-02-25,50,False
2018-03-04,17,False
2018-03-11,33,False
2018-03-18,25,False
2018-03-25,36,False
2018-04-01,28,False
2018-04-08,42,False
2018-04-15,16,False
2018-04-22,48,False
2018-04-29,44,False
2018-05-06,27,False
2018-05-13,51,False
2018-05-20,27,False
2018-05-27,26,False
2018-06-03,34,False
2018-06-10,41,False
2018-06-17,16,False
2018-06-24,25,False
2018-07-01,45,False
2018-07-08,27,False
2018-07-15,38,False
2018-07-22,29,False
2018-07-29,20,False
2018-08-05,58,False
2018-08-12,20,False
2018-08-19,38,False
2018-08-26,27,False
2018-09-02,35,False
2018-09-09,52,False
2018-09-16,43,False
2018-09-23,17,False
2018-09-30,17,False
2018-10-07,32,False
2018-10-14,48,False
2018-10-21,48,False
2018-10-28,17,False
2018-11-04,40,False
2018-11-11,31,False
2018-11-18,15,False
2018-11-25,15,False
2018-12-02,15,False
2018-12-09,15,False
2018-12-16,0,False
2018-12-23,59,False
2018-12-30,28,False
2019-01-06,17,False
2019-01-13,16,False
2019-01-20,24,False
2019-01-27,25,False
2019-02-03,17,False
2019-02-10,49,False
2019-02-17,17,False
2019-02-24,24,False
2019-03-03,65,False
2019-03-10,24,False
2019-03-17,33,False
2019-03-24,42,False
2019-03-31,33,False
2019-04-07,25,False
2019-04-14,55,False
2019-04-21,36,False
2019-04-28,33,False
2019-05-05,32,False
2019-05-12,40,False
2019-05-19,16,False
2019-05-26,17,False
2019-06-02,51,False
2019-06-09,53,False
2019-06-16,34,False
2019-06-23,60,False
2019-06-30,44,False
2019-07-07,89,False
2019-07-14,37,False
2019-07-21,39,False
2019-07-28,29,False
2019-08-04,59,False
2019-08-11,30,False
2019-08-18,19,False
2019-08-25,71,False
2019-09-01,100,False
2019-09-08,34,False
2019-09-15,16,False
2019-09-22,55,False
2019-09-29,0,False
2019-10-06,46,False
2019-10-13,30,False
2019-10-20,30,False
2019-10-27,16,False
2019-11-03,37,False
2019-11-10,51,False
2019-11-17,29,False
2019-11-24,29,False
2019-12-01,15,False
2019-12-08,52,False
2019-12-15,15,False
2019-12-22,38,False
2019-12-29,39,False
2020-01-05,17,False
2020-01-12,58,False
2020-01-19,14,False
2020-01-26,29,False
2020-02-02,31,False
2020-02-09,22,False
2020-02-16,65,False
2020-02-23,34,False
2020-03-01,41,False
2020-03-08,40,False
2020-03-15,14,False
2020-03-22,45,False
2020-03-29,15,False
2020-04-05,25,False
2020-04-12,24,False
2020-04-19,39,False
2020-04-26,16,False
2020-05-03,30,False
2020-05-10,52,False
2020-05-17,32,False
2020-05-24,44,False
2020-05-31,15,False
2020-06-07,53,False
2020-06-14,43,False
2020-06-21,29,False
2020-06-28,37,False
2020-07-05,77,False
