date,professeur guitare,isPartial
2018-01-07,21,False
2018-01-14,51,False
2018-01-21,41,False
2018-01-28,21,False
2018-02-04,20,False
2018-02-11,21,False
2018-02-18,21,False
2018-02-25,0,False
2018-03-04,83,False
2018-03-11,21,False
2018-03-18,42,False
2018-03-25,42,False
2018-04-01,21,False
2018-04-08,31,False
2018-04-15,23,False
2018-04-22,32,False
2018-04-29,36,False
2018-05-06,67,False
2018-05-13,21,False
2018-05-20,54,False
2018-05-27,34,False
2018-06-03,42,False
2018-06-10,40,False
2018-06-17,21,False
2018-06-24,21,False
2018-07-01,41,False
2018-07-08,43,False
2018-07-15,23,False
2018-07-22,45,False
2018-07-29,46,False
2018-08-05,23,False
2018-08-12,47,False
2018-08-19,23,False
2018-08-26,43,False
2018-09-02,100,False
2018-09-09,64,False
2018-09-16,42,False
2018-09-23,21,False
2018-09-30,21,False
2018-10-07,22,False
2018-10-14,21,False
2018-10-21,21,False
2018-10-28,32,False
2018-11-04,21,False
2018-11-11,21,False
2018-11-18,20,False
2018-11-25,31,False
2018-12-02,21,False
2018-12-09,32,False
2018-12-16,43,False
2018-12-23,49,False
2018-12-30,30,False
2019-01-06,41,False
2019-01-13,21,False
2019-01-20,40,False
2019-01-27,27,False
2019-02-03,34,False
2019-02-10,21,False
2019-02-17,36,False
2019-02-24,21,False
2019-03-03,0,False
2019-03-10,31,False
2019-03-17,21,False
2019-03-24,29,False
2019-03-31,49,False
2019-04-07,21,False
2019-04-14,36,False
2019-04-21,43,False
2019-04-28,63,False
2019-05-05,20,False
2019-05-12,21,False
2019-05-19,20,False
2019-05-26,31,False
2019-06-02,39,False
2019-06-09,20,False
2019-06-16,62,False
2019-06-23,41,False
2019-06-30,41,False
2019-07-07,20,False
2019-07-14,22,False
2019-07-21,32,False
2019-07-28,22,False
2019-08-04,33,False
2019-08-11,44,False
2019-08-18,22,False
2019-08-25,31,False
2019-09-01,40,False
2019-09-08,60,False
2019-09-15,59,False
2019-09-22,76,False
2019-09-29,57,False
2019-10-06,32,False
2019-10-13,32,False
2019-10-20,39,False
2019-10-27,19,False
2019-11-03,19,False
2019-11-10,25,False
2019-11-17,38,False
2019-11-24,30,False
2019-12-01,37,False
2019-12-08,31,False
2019-12-15,25,False
2019-12-22,21,False
2019-12-29,20,False
2020-01-05,27,False
2020-01-12,27,False
2020-01-19,18,False
2020-01-26,36,False
2020-02-02,36,False
2020-02-09,36,False
2020-02-16,18,False
2020-02-23,26,False
2020-03-01,17,False
2020-03-08,26,False
2020-03-15,83,False
2020-03-22,16,False
2020-03-29,32,False
2020-04-05,16,False
2020-04-12,0,False
2020-04-19,24,False
2020-04-26,31,False
2020-05-03,15,False
2020-05-10,33,False
2020-05-17,20,True
