date,tapezieren streichen,isPartial
2018-01-07,45,False
2018-01-14,29,False
2018-01-21,45,False
2018-01-28,59,False
2018-02-04,61,False
2018-02-11,40,False
2018-02-18,0,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,29,False
2018-03-18,60,False
2018-03-25,32,False
2018-04-01,80,False
2018-04-08,30,False
2018-04-15,62,False
2018-04-22,44,False
2018-04-29,46,False
2018-05-06,31,False
2018-05-13,45,False
2018-05-20,32,False
2018-05-27,30,False
2018-06-03,30,False
2018-06-10,0,False
2018-06-17,29,False
2018-06-24,40,False
2018-07-01,59,False
2018-07-08,58,False
2018-07-15,31,False
2018-07-22,62,False
2018-07-29,48,False
2018-08-05,32,False
2018-08-12,64,False
2018-08-19,31,False
2018-08-26,51,False
2018-09-02,40,False
2018-09-09,76,False
2018-09-16,30,False
2018-09-23,46,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,47,False
2018-10-21,46,False
2018-10-28,50,False
2018-11-04,38,False
2018-11-11,59,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,58,False
2018-12-09,44,False
2018-12-16,60,False
2018-12-23,34,False
2018-12-30,31,False
2019-01-06,42,False
2019-01-13,28,False
2019-01-20,41,False
2019-01-27,28,False
2019-02-03,55,False
2019-02-10,57,False
2019-02-17,29,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,27,False
2019-03-17,58,False
2019-03-24,29,False
2019-03-31,28,False
2019-04-07,0,False
2019-04-14,31,False
2019-04-21,61,False
2019-04-28,44,False
2019-05-05,56,False
2019-05-12,38,False
2019-05-19,42,False
2019-05-26,44,False
2019-06-02,29,False
2019-06-09,29,False
2019-06-16,49,False
2019-06-23,0,False
2019-06-30,100,False
2019-07-07,28,False
2019-07-14,0,False
2019-07-21,64,False
2019-07-28,63,False
2019-08-04,95,False
2019-08-11,0,False
2019-08-18,60,False
2019-08-25,38,False
2019-09-01,28,False
2019-09-08,29,False
2019-09-15,29,False
2019-09-22,0,False
2019-09-29,28,False
2019-10-06,46,False
2019-10-13,56,False
2019-10-20,28,False
2019-10-27,27,False
2019-11-03,26,False
2019-11-10,27,False
2019-11-17,52,False
2019-11-24,39,False
2019-12-01,27,False
2019-12-08,26,False
2019-12-15,40,False
2019-12-22,62,False
2019-12-29,29,False
2020-01-05,51,False
2020-01-12,25,False
2020-01-19,25,False
2020-01-26,42,False
2020-02-02,41,False
2020-02-09,37,False
2020-02-16,25,False
2020-02-23,24,False
2020-03-01,41,False
2020-03-08,46,False
2020-03-15,31,False
2020-03-22,23,False
2020-03-29,30,False
2020-04-05,50,False
2020-04-12,24,False
2020-04-19,62,False
2020-04-26,90,False
2020-05-03,23,False
2020-05-10,69,False
2020-05-17,55,True
