date,Peintre bâtiment,isPartial
2018-01-07,0,False
2018-01-14,25,False
2018-01-21,13,False
2018-01-28,0,False
2018-02-04,13,False
2018-02-11,0,False
2018-02-18,14,False
2018-02-25,14,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,13,False
2018-03-25,13,False
2018-04-01,14,False
2018-04-08,13,False
2018-04-15,14,False
2018-04-22,21,False
2018-04-29,0,False
2018-05-06,14,False
2018-05-13,13,False
2018-05-20,20,False
2018-05-27,13,False
2018-06-03,25,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,13,False
2018-07-01,13,False
2018-07-08,13,False
2018-07-15,22,False
2018-07-22,15,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,17,False
2018-08-19,16,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,13,False
2018-09-16,26,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,13,False
2018-10-14,12,False
2018-10-21,0,False
2018-10-28,14,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,38,False
2018-11-25,13,False
2018-12-02,25,False
2018-12-09,13,False
2018-12-16,13,False
2018-12-23,16,False
2018-12-30,15,False
2019-01-06,19,False
2019-01-13,26,False
2019-01-20,19,False
2019-01-27,12,False
2019-02-03,0,False
2019-02-10,13,False
2019-02-17,26,False
2019-02-24,26,False
2019-03-03,25,False
2019-03-10,26,False
2019-03-17,13,False
2019-03-24,14,False
2019-03-31,13,False
2019-04-07,0,False
2019-04-14,14,False
2019-04-21,29,False
2019-04-28,14,False
2019-05-05,14,False
2019-05-12,0,False
2019-05-19,27,False
2019-05-26,14,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,13,False
2019-06-23,13,False
2019-06-30,14,False
2019-07-07,21,False
2019-07-14,15,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,17,False
2019-08-11,18,False
2019-08-18,17,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,13,False
2019-09-15,0,False
2019-09-22,13,False
2019-09-29,19,False
2019-10-06,13,False
2019-10-13,26,False
2019-10-20,27,False
2019-10-27,14,False
2019-11-03,13,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,13,False
2019-12-01,12,False
2019-12-08,0,False
2019-12-15,13,False
2019-12-22,16,False
2019-12-29,15,False
2020-01-05,37,False
2020-01-12,12,False
2020-01-19,13,False
2020-01-26,12,False
2020-02-02,13,False
2020-02-09,0,False
2020-02-16,13,False
2020-02-23,0,False
2020-03-01,12,False
2020-03-08,12,False
2020-03-15,13,False
2020-03-22,25,False
2020-03-29,19,False
2020-04-05,13,False
2020-04-12,26,False
2020-04-19,12,False
2020-04-26,0,False
2020-05-03,20,False
2020-05-10,12,False
2020-05-17,13,False
2020-05-24,12,False
2020-05-31,23,False
2020-06-07,16,False
2020-06-14,24,False
2020-06-21,100,True
