date,peintre décorateur,isPartial
2018-01-07,69,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,28,False
2018-02-04,41,False
2018-02-11,28,False
2018-02-18,43,False
2018-02-25,0,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,42,False
2018-04-01,29,False
2018-04-08,28,False
2018-04-15,0,False
2018-04-22,87,False
2018-04-29,29,False
2018-05-06,30,False
2018-05-13,28,False
2018-05-20,29,False
2018-05-27,56,False
2018-06-03,69,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,0,False
2018-07-01,27,False
2018-07-08,0,False
2018-07-15,30,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,31,False
2018-08-12,32,False
2018-08-19,0,False
2018-08-26,29,False
2018-09-02,29,False
2018-09-09,58,False
2018-09-16,28,False
2018-09-23,57,False
2018-09-30,0,False
2018-10-07,29,False
2018-10-14,85,False
2018-10-21,43,False
2018-10-28,29,False
2018-11-04,28,False
2018-11-11,0,False
2018-11-18,27,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,65,False
2018-12-30,31,False
2019-01-06,56,False
2019-01-13,56,False
2019-01-20,27,False
2019-01-27,27,False
2019-02-03,40,False
2019-02-10,42,False
2019-02-17,58,False
2019-02-24,28,False
2019-03-03,27,False
2019-03-10,28,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,28,False
2019-04-07,28,False
2019-04-14,29,False
2019-04-21,0,False
2019-04-28,27,False
2019-05-05,41,False
2019-05-12,28,False
2019-05-19,0,False
2019-05-26,56,False
2019-06-02,51,False
2019-06-09,27,False
2019-06-16,0,False
2019-06-23,27,False
2019-06-30,27,False
2019-07-07,27,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,30,False
2019-08-11,30,False
2019-08-18,29,False
2019-08-25,27,False
2019-09-01,27,False
2019-09-08,81,False
2019-09-15,79,False
2019-09-22,0,False
2019-09-29,64,False
2019-10-06,26,False
2019-10-13,52,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,25,False
2019-11-10,25,False
2019-11-17,0,False
2019-11-24,36,False
2019-12-01,37,False
2019-12-08,0,False
2019-12-15,100,False
2019-12-22,28,False
2019-12-29,27,False
2020-01-05,24,False
2020-01-12,60,False
2020-01-19,0,False
2020-01-26,24,False
2020-02-02,24,False
2020-02-09,24,False
2020-02-16,98,False
2020-02-23,24,False
2020-03-01,70,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,22,False
2020-04-12,22,False
2020-04-19,22,False
2020-04-26,62,False
2020-05-03,20,False
2020-05-10,22,False
2020-05-17,0,False
2020-05-24,34,False
2020-05-31,21,False
2020-06-07,32,False
2020-06-14,44,False
