date,piscine rectangulaire,isPartial
2018-01-07,9,False
2018-01-14,4,False
2018-01-21,9,False
2018-01-28,12,False
2018-02-04,9,False
2018-02-11,8,False
2018-02-18,5,False
2018-02-25,11,False
2018-03-04,4,False
2018-03-11,18,False
2018-03-18,18,False
2018-03-25,14,False
2018-04-01,11,False
2018-04-08,11,False
2018-04-15,12,False
2018-04-22,18,False
2018-04-29,16,False
2018-05-06,22,False
2018-05-13,14,False
2018-05-20,28,False
2018-05-27,20,False
2018-06-03,16,False
2018-06-10,15,False
2018-06-17,36,False
2018-06-24,34,False
2018-07-01,47,False
2018-07-08,24,False
2018-07-15,15,False
2018-07-22,24,False
2018-07-29,34,False
2018-08-05,24,False
2018-08-12,18,False
2018-08-19,16,False
2018-08-26,10,False
2018-09-02,10,False
2018-09-09,15,False
2018-09-16,8,False
2018-09-23,7,False
2018-09-30,10,False
2018-10-07,5,False
2018-10-14,10,False
2018-10-21,5,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,5,False
2018-11-18,5,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,5,False
2018-12-23,5,False
2018-12-30,5,False
2019-01-06,5,False
2019-01-13,5,False
2019-01-20,7,False
2019-01-27,4,False
2019-02-03,6,False
2019-02-10,9,False
2019-02-17,8,False
2019-02-24,9,False
2019-03-03,12,False
2019-03-10,11,False
2019-03-17,12,False
2019-03-24,14,False
2019-03-31,10,False
2019-04-07,11,False
2019-04-14,5,False
2019-04-21,12,False
2019-04-28,9,False
2019-05-05,11,False
2019-05-12,19,False
2019-05-19,4,False
2019-05-26,25,False
2019-06-02,39,False
2019-06-09,11,False
2019-06-16,28,False
2019-06-23,58,False
2019-06-30,39,False
2019-07-07,17,False
2019-07-14,20,False
2019-07-21,20,False
2019-07-28,21,False
2019-08-04,22,False
2019-08-11,7,False
2019-08-18,13,False
2019-08-25,16,False
2019-09-01,8,False
2019-09-08,4,False
2019-09-15,9,False
2019-09-22,4,False
2019-09-29,6,False
2019-10-06,4,False
2019-10-13,9,False
2019-10-20,0,False
2019-10-27,4,False
2019-11-03,6,False
2019-11-10,0,False
2019-11-17,4,False
2019-11-24,8,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,4,False
2019-12-22,4,False
2019-12-29,4,False
2020-01-05,0,False
2020-01-12,6,False
2020-01-19,6,False
2020-01-26,8,False
2020-02-02,4,False
2020-02-09,8,False
2020-02-16,11,False
2020-02-23,6,False
2020-03-01,10,False
2020-03-08,6,False
2020-03-15,8,False
2020-03-22,8,False
2020-03-29,10,False
2020-04-05,28,False
2020-04-12,36,False
2020-04-19,31,False
2020-04-26,39,False
2020-05-03,52,False
2020-05-10,31,False
2020-05-17,100,True
