date,piscine rectangulaire,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,16,False
2018-02-11,17,False
2018-02-18,0,False
2018-02-25,17,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,38,False
2018-04-22,17,False
2018-04-29,22,False
2018-05-06,18,False
2018-05-13,17,False
2018-05-20,41,False
2018-05-27,0,False
2018-06-03,17,False
2018-06-10,39,False
2018-06-17,26,False
2018-06-24,29,False
2018-07-01,50,False
2018-07-08,35,False
2018-07-15,18,False
2018-07-22,27,False
2018-07-29,60,False
2018-08-05,43,False
2018-08-12,38,False
2018-08-19,37,False
2018-08-26,18,False
2018-09-02,18,False
2018-09-09,18,False
2018-09-16,0,False
2018-09-23,18,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,17,False
2018-11-04,0,False
2018-11-11,17,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,17,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,17,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,26,False
2019-03-03,16,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,18,False
2019-03-31,17,False
2019-04-07,0,False
2019-04-14,26,False
2019-04-21,17,False
2019-04-28,16,False
2019-05-05,16,False
2019-05-12,34,False
2019-05-19,17,False
2019-05-26,17,False
2019-06-02,26,False
2019-06-09,26,False
2019-06-16,45,False
2019-06-23,95,False
2019-06-30,65,False
2019-07-07,42,False
2019-07-14,29,False
2019-07-21,34,False
2019-07-28,18,False
2019-08-04,27,False
2019-08-11,0,False
2019-08-18,18,False
2019-08-25,27,False
2019-09-01,16,False
2019-09-08,0,False
2019-09-15,16,False
2019-09-22,16,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,15,False
2019-11-03,15,False
2019-11-10,15,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,15,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,16,False
2019-12-29,15,False
2020-01-05,15,False
2020-01-12,14,False
2020-01-19,15,False
2020-01-26,14,False
2020-02-02,15,False
2020-02-09,0,False
2020-02-16,14,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,21,False
2020-03-15,13,False
2020-03-22,24,False
2020-03-29,12,False
2020-04-05,55,False
2020-04-12,41,False
2020-04-19,25,False
2020-04-26,29,False
2020-05-03,31,False
2020-05-10,25,False
2020-05-17,100,True
