date,piscine rectangulaire,isPartial
2018-01-07,5,False
2018-01-14,5,False
2018-01-21,5,False
2018-01-28,0,False
2018-02-04,5,False
2018-02-11,5,False
2018-02-18,0,False
2018-02-25,5,False
2018-03-04,5,False
2018-03-11,8,False
2018-03-18,0,False
2018-03-25,5,False
2018-04-01,11,False
2018-04-08,5,False
2018-04-15,17,False
2018-04-22,18,False
2018-04-29,11,False
2018-05-06,14,False
2018-05-13,17,False
2018-05-20,17,False
2018-05-27,8,False
2018-06-03,7,False
2018-06-10,8,False
2018-06-17,7,False
2018-06-24,41,False
2018-07-01,19,False
2018-07-08,35,False
2018-07-15,14,False
2018-07-22,8,False
2018-07-29,12,False
2018-08-05,14,False
2018-08-12,6,False
2018-08-19,12,False
2018-08-26,11,False
2018-09-02,6,False
2018-09-09,6,False
2018-09-16,8,False
2018-09-23,0,False
2018-09-30,11,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,6,False
2018-10-28,6,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,5,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,8,False
2019-01-20,0,False
2019-01-27,5,False
2019-02-03,10,False
2019-02-10,0,False
2019-02-17,6,False
2019-02-24,5,False
2019-03-03,5,False
2019-03-10,5,False
2019-03-17,11,False
2019-03-24,5,False
2019-03-31,9,False
2019-04-07,8,False
2019-04-14,6,False
2019-04-21,11,False
2019-04-28,13,False
2019-05-05,10,False
2019-05-12,9,False
2019-05-19,8,False
2019-05-26,18,False
2019-06-02,7,False
2019-06-09,12,False
2019-06-16,32,False
2019-06-23,42,False
2019-06-30,44,False
2019-07-07,16,False
2019-07-14,29,False
2019-07-21,20,False
2019-07-28,9,False
2019-08-04,8,False
2019-08-11,11,False
2019-08-18,0,False
2019-08-25,7,False
2019-09-01,10,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,5,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,9,False
2019-11-03,5,False
2019-11-10,5,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,5,False
2019-12-08,5,False
2019-12-15,0,False
2019-12-22,5,False
2019-12-29,5,False
2020-01-05,0,False
2020-01-12,4,False
2020-01-19,9,False
2020-01-26,9,False
2020-02-02,5,False
2020-02-09,0,False
2020-02-16,9,False
2020-02-23,4,False
2020-03-01,4,False
2020-03-08,4,False
2020-03-15,6,False
2020-03-22,0,False
2020-03-29,5,False
2020-04-05,21,False
2020-04-12,24,False
2020-04-19,19,False
2020-04-26,29,False
2020-05-03,18,False
2020-05-10,29,False
2020-05-17,100,True
