date,taglio capelli donna,isPartial
2018-01-07,29,False
2018-01-14,20,False
2018-01-21,19,False
2018-01-28,20,False
2018-02-04,48,False
2018-02-11,20,False
2018-02-18,0,False
2018-02-25,41,False
2018-03-04,21,False
2018-03-11,31,False
2018-03-18,42,False
2018-03-25,0,False
2018-04-01,58,False
2018-04-08,41,False
2018-04-15,21,False
2018-04-22,44,False
2018-04-29,0,False
2018-05-06,43,False
2018-05-13,31,False
2018-05-20,21,False
2018-05-27,55,False
2018-06-03,43,False
2018-06-10,0,False
2018-06-17,31,False
2018-06-24,41,False
2018-07-01,21,False
2018-07-08,31,False
2018-07-15,32,False
2018-07-22,40,False
2018-07-29,30,False
2018-08-05,29,False
2018-08-12,20,False
2018-08-19,0,False
2018-08-26,59,False
2018-09-02,30,False
2018-09-09,20,False
2018-09-16,39,False
2018-09-23,49,False
2018-09-30,30,False
2018-10-07,51,False
2018-10-14,21,False
2018-10-21,31,False
2018-10-28,41,False
2018-11-04,21,False
2018-11-11,22,False
2018-11-18,53,False
2018-11-25,21,False
2018-12-02,34,False
2018-12-09,22,False
2018-12-16,91,False
2018-12-23,36,False
2018-12-30,21,False
2019-01-06,30,False
2019-01-13,30,False
2019-01-20,48,False
2019-01-27,20,False
2019-02-03,29,False
2019-02-10,20,False
2019-02-17,39,False
2019-02-24,40,False
2019-03-03,21,False
2019-03-10,20,False
2019-03-17,61,False
2019-03-24,40,False
2019-03-31,40,False
2019-04-07,41,False
2019-04-14,31,False
2019-04-21,43,False
2019-04-28,100,False
2019-05-05,0,False
2019-05-12,19,False
2019-05-19,40,False
2019-05-26,19,False
2019-06-02,20,False
2019-06-09,42,False
2019-06-16,43,False
2019-06-23,21,False
2019-06-30,63,False
2019-07-07,21,False
2019-07-14,50,False
2019-07-21,31,False
2019-07-28,0,False
2019-08-04,20,False
2019-08-11,21,False
2019-08-18,28,False
2019-08-25,55,False
2019-09-01,72,False
2019-09-08,29,False
2019-09-15,0,False
2019-09-22,57,False
2019-09-29,19,False
2019-10-06,58,False
2019-10-13,20,False
2019-10-20,37,False
2019-10-27,58,False
2019-11-03,75,False
2019-11-10,39,False
2019-11-17,30,False
2019-11-24,19,False
2019-12-01,40,False
2019-12-08,50,False
2019-12-15,0,False
2019-12-22,44,False
2019-12-29,0,False
2020-01-05,38,False
2020-01-12,28,False
2020-01-19,47,False
2020-01-26,56,False
2020-02-02,18,False
2020-02-09,19,False
2020-02-16,19,False
2020-02-23,27,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,30,False
2020-03-29,46,False
2020-04-05,24,False
2020-04-12,33,False
2020-04-19,31,False
2020-04-26,27,True
