date,Personal Training,isPartial
2018-01-07,48,False
2018-01-14,39,False
2018-01-21,47,False
2018-01-28,24,False
2018-02-04,36,False
2018-02-11,61,False
2018-02-18,24,False
2018-02-25,40,False
2018-03-04,48,False
2018-03-11,48,False
2018-03-18,24,False
2018-03-25,26,False
2018-04-01,26,False
2018-04-08,50,False
2018-04-15,76,False
2018-04-22,37,False
2018-04-29,52,False
2018-05-06,51,False
2018-05-13,74,False
2018-05-20,40,False
2018-05-27,27,False
2018-06-03,33,False
2018-06-10,36,False
2018-06-17,33,False
2018-06-24,74,False
2018-07-01,24,False
2018-07-08,49,False
2018-07-15,0,False
2018-07-22,50,False
2018-07-29,52,False
2018-08-05,26,False
2018-08-12,41,False
2018-08-19,55,False
2018-08-26,36,False
2018-09-02,51,False
2018-09-09,50,False
2018-09-16,74,False
2018-09-23,37,False
2018-09-30,58,False
2018-10-07,32,False
2018-10-14,48,False
2018-10-21,55,False
2018-10-28,48,False
2018-11-04,23,False
2018-11-11,23,False
2018-11-18,23,False
2018-11-25,39,False
2018-12-02,35,False
2018-12-09,23,False
2018-12-16,56,False
2018-12-23,27,False
2018-12-30,38,False
2019-01-06,52,False
2019-01-13,44,False
2019-01-20,44,False
2019-01-27,29,False
2019-02-03,33,False
2019-02-10,45,False
2019-02-17,38,False
2019-02-24,35,False
2019-03-03,69,False
2019-03-10,30,False
2019-03-17,46,False
2019-03-24,35,False
2019-03-31,46,False
2019-04-07,38,False
2019-04-14,25,False
2019-04-21,36,False
2019-04-28,54,False
2019-05-05,22,False
2019-05-12,34,False
2019-05-19,55,False
2019-05-26,58,False
2019-06-02,46,False
2019-06-09,24,False
2019-06-16,49,False
2019-06-23,58,False
2019-06-30,45,False
2019-07-07,22,False
2019-07-14,58,False
2019-07-21,36,False
2019-07-28,36,False
2019-08-04,50,False
2019-08-11,41,False
2019-08-18,76,False
2019-08-25,25,False
2019-09-01,63,False
2019-09-08,31,False
2019-09-15,94,False
2019-09-22,52,False
2019-09-29,38,False
2019-10-06,29,False
2019-10-13,36,False
2019-10-20,22,False
2019-10-27,33,False
2019-11-03,28,False
2019-11-10,29,False
2019-11-17,74,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,53,False
2019-12-15,44,False
2019-12-22,25,False
2019-12-29,63,False
2020-01-05,28,False
2020-01-12,100,False
2020-01-19,54,False
2020-01-26,40,False
2020-02-02,61,False
2020-02-09,27,False
2020-02-16,42,False
2020-02-23,33,False
2020-03-01,40,False
2020-03-08,18,False
2020-03-15,36,False
2020-03-22,45,False
2020-03-29,72,False
2020-04-05,33,False
2020-04-12,19,False
2020-04-19,36,False
2020-04-26,41,False
2020-05-03,24,False
2020-05-10,54,False
2020-05-17,58,True
