date,Personal Training,isPartial
2018-01-07,70,False
2018-01-14,23,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,24,False
2018-02-11,23,False
2018-02-18,23,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,23,False
2018-03-18,23,False
2018-03-25,25,False
2018-04-01,26,False
2018-04-08,24,False
2018-04-15,24,False
2018-04-22,0,False
2018-04-29,73,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,100,False
2018-05-27,59,False
2018-06-03,23,False
2018-06-10,45,False
2018-06-17,0,False
2018-06-24,24,False
2018-07-01,0,False
2018-07-08,37,False
2018-07-15,52,False
2018-07-22,28,False
2018-07-29,56,False
2018-08-05,54,False
2018-08-12,54,False
2018-08-19,50,False
2018-08-26,37,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,48,False
2018-09-23,24,False
2018-09-30,46,False
2018-10-07,40,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,24,False
2018-11-04,23,False
2018-11-11,0,False
2018-11-18,23,False
2018-11-25,46,False
2018-12-02,46,False
2018-12-09,48,False
2018-12-16,25,False
2018-12-23,63,False
2018-12-30,27,False
2019-01-06,0,False
2019-01-13,20,False
2019-01-20,42,False
2019-01-27,18,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,45,False
2019-02-24,0,False
2019-03-03,47,False
2019-03-10,57,False
2019-03-17,24,False
2019-03-24,23,False
2019-03-31,24,False
2019-04-07,28,False
2019-04-14,26,False
2019-04-21,78,False
2019-04-28,47,False
2019-05-05,23,False
2019-05-12,46,False
2019-05-19,23,False
2019-05-26,36,False
2019-06-02,20,False
2019-06-09,47,False
2019-06-16,0,False
2019-06-23,37,False
2019-06-30,0,False
2019-07-07,23,False
2019-07-14,0,False
2019-07-21,38,False
2019-07-28,36,False
2019-08-04,0,False
2019-08-11,23,False
2019-08-18,23,False
2019-08-25,32,False
2019-09-01,21,False
2019-09-08,46,False
2019-09-15,22,False
2019-09-22,34,False
2019-09-29,20,False
2019-10-06,23,False
2019-10-13,34,False
2019-10-20,22,False
2019-10-27,21,False
2019-11-03,38,False
2019-11-10,44,False
2019-11-17,22,False
2019-11-24,21,False
2019-12-01,40,False
2019-12-08,33,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,23,False
2020-01-05,0,False
2020-01-12,20,False
2020-01-19,21,False
2020-01-26,42,False
2020-02-02,22,False
2020-02-09,38,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,59,False
2020-03-08,18,False
2020-03-15,20,False
2020-03-22,20,False
2020-03-29,20,False
2020-04-05,20,False
2020-04-12,0,False
2020-04-19,41,False
2020-04-26,0,False
2020-05-03,28,False
2020-05-10,49,False
2020-05-17,69,True
