date,Personal Training,isPartial
2018-01-07,100,False
2018-01-14,0,False
2018-01-21,37,False
2018-01-28,41,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,37,False
2018-02-25,25,False
2018-03-04,49,False
2018-03-11,25,False
2018-03-18,0,False
2018-03-25,26,False
2018-04-01,25,False
2018-04-08,26,False
2018-04-15,26,False
2018-04-22,49,False
2018-04-29,25,False
2018-05-06,35,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,32,False
2018-06-03,37,False
2018-06-10,48,False
2018-06-17,48,False
2018-06-24,25,False
2018-07-01,26,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,26,False
2018-07-29,38,False
2018-08-05,23,False
2018-08-12,47,False
2018-08-19,23,False
2018-08-26,32,False
2018-09-02,37,False
2018-09-09,24,False
2018-09-16,49,False
2018-09-23,25,False
2018-09-30,26,False
2018-10-07,26,False
2018-10-14,49,False
2018-10-21,72,False
2018-10-28,48,False
2018-11-04,24,False
2018-11-11,24,False
2018-11-18,47,False
2018-11-25,49,False
2018-12-02,0,False
2018-12-09,24,False
2018-12-16,33,False
2018-12-23,27,False
2018-12-30,0,False
2019-01-06,38,False
2019-01-13,34,False
2019-01-20,46,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,24,False
2019-03-03,46,False
2019-03-10,67,False
2019-03-17,48,False
2019-03-24,32,False
2019-03-31,32,False
2019-04-07,25,False
2019-04-14,0,False
2019-04-21,49,False
2019-04-28,36,False
2019-05-05,23,False
2019-05-12,36,False
2019-05-19,47,False
2019-05-26,39,False
2019-06-02,23,False
2019-06-09,34,False
2019-06-16,23,False
2019-06-23,24,False
2019-06-30,23,False
2019-07-07,47,False
2019-07-14,50,False
2019-07-21,39,False
2019-07-28,25,False
2019-08-04,24,False
2019-08-11,44,False
2019-08-18,23,False
2019-08-25,45,False
2019-09-01,55,False
2019-09-08,68,False
2019-09-15,22,False
2019-09-22,67,False
2019-09-29,0,False
2019-10-06,23,False
2019-10-13,37,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,42,False
2019-11-10,21,False
2019-11-17,22,False
2019-11-24,31,False
2019-12-01,36,False
2019-12-08,42,False
2019-12-15,43,False
2019-12-22,24,False
2019-12-29,22,False
2020-01-05,81,False
2020-01-12,26,False
2020-01-19,73,False
2020-01-26,34,False
2020-02-02,30,False
2020-02-09,40,False
2020-02-16,31,False
2020-02-23,20,False
2020-03-01,41,False
2020-03-08,0,False
2020-03-15,38,False
2020-03-22,28,False
2020-03-29,19,False
2020-04-05,31,False
2020-04-12,26,False
2020-04-19,38,False
2020-04-26,37,False
2020-05-03,25,False
2020-05-10,47,False
2020-05-17,0,True
